"","ascat.output.goodnessOfFit","ascat.output.aberrantcellfraction","ascat.output.ploidy","ascat.output.psi"
"MM_cytoscanHD_10192017_863_.CytoScanHD_Array.",98.3815604826442,0.79,2.20573798099911,2
"MM_cytoscanHD_10022017_856_.CytoScanHD_Array.",99.4078038232236,1,2.39632256728985,1.95
"MM_cytoscanHD28022018_938_.CytoScanHD_Array.",95.824432379388,0.87,2.05366750480937,1.9
"X20130731_Cytoscan_MM305_.CytoScanHD_Array.",99.0171804750702,0.79,2.00876996573818,1.95
"X20130731_Cytoscan_MM306_.CytoScanHD_Array.",96.7759869739673,0.7,2.33890857613164,2.05
"MM_cytoscanHD3042018_958_.CytoScanHD_Array.",99.5712451360947,0.84,2.17939927943027,1.9
"X20130731_Cytoscan_MM308_.CytoScanHD_Array.",89.0335506719715,0.81,1.95083634402845,2.25
"X20130731_Cytoscan_MM307_.CytoScanHD_Array.",96.6453349243065,0.4,4.50142427930545,3.85
"MM_cytoscanHD3042018_959_.CytoScanHD_Array.",95.7239464529483,0.78,3.73358929522658,3.9
"X20131104_Cytoscan_MM325_.CytoScanHD_Array.",98.440033099558,0.81,2.27443598193852,1.95
"X20130731_Cytoscan_MM309_.CytoScanHD_Array.",94.6506242828333,0.73,2.18327250493803,1.85
"X20130731_Cytoscan_MM311_.CytoScanHD_Array.",92.2245943423742,0.83,4.39888769105448,4
"MM_cytoscanHD14032018_939_.CytoScanHD_Array.",98.5613095862226,0.76,2.0271536727664,1.95
"X20130731_Cytoscan_MM312_.CytoScanHD_Array.",94.6685715102981,0.84,2.13856123402463,1.95
"X20130731_Cytoscan_MM313_.CytoScanHD_Array.",99.23301085301,0.61,2.00003226087681,2
"X20130711_Cytoscan_MM293_.CytoScanHD_Array.",97.1009239569294,0.8,2.22479993455651,1.9
"X20130731_Cytoscan_MM315_.CytoScanHD_Array.",99.103859570591,0.6,1.98769401172836,2
"X20131001_Cytoscan_MM316_.CytoScanHD_Array.",99.2410385450108,0.77,2.37815969364457,2
"MM_cytoscanHD_10022017_857_.CytoScanHD_Array.",97.4096299259714,0.83,2.07428066886015,1.9
"X20131001_Cytoscan_MM319_.CytoScanHD_Array.",99.3633150210626,0.75,2.02641973781893,2
"MM_cytoscanHD_10022017_858_.CytoScanHD_Array.",98.697276873839,1,2.14863277251896,1.95
"X20131001_Cytoscan_MM320_.CytoScanHD_Array.",99.3594957815187,0.66,3.92319952622598,4
"X20131104_Cytoscan_MM326_.CytoScanHD_Array.",97.8476890229871,0.36,2.08382643187405,2
"MM_cytoscanHD3042018_960_.CytoScanHD_Array.",99.2861336014153,0.68,3.19513106557292,3.55
"X20131104_Cytoscan_MM327_.CytoScanHD_Array.",97.1937161650191,0.8,1.99996620289096,2
"X20131104_Cytoscan_MM328_.CytoScanHD_Array.",96.3010365120793,0.38,2.32976492190371,1.95
"MM_cytoscanHD3042018_961_.CytoScanHD_Array.",99.3676914718875,0.91,2.35675460187966,1.9
"X20131104_Cytoscan_MM329_.CytoScanHD_Array.",98.0440049168873,0.85,1.9833326484298,2
"X20130725_Cytoscan_MM300_.CytoScanHD_Array.",95.9425844320601,0.54,5.05701956353338,3.95
"MM_cytoscanHD_10262017_866_.CytoScanHD_Array.",93.9391272310662,0.72,2.24584170739922,1.95
"X20131001_Cytoscan_MM317_.CytoScanHD_Array.",98.0855043922525,0.81,2.52864785063829,1.9
"X20131104_Cytoscan_MM330_.CytoScanHD_Array.",92.6664206007249,0.73,1.96536180381316,2.1
"X20131001_Cytoscan_MM321_.CytoScanHD_Array.",91.0062839540146,0.52,3.99835315905035,3.95
"X20131104_Cytoscan_MM331_.CytoScanHD_Array.",99.1540107676744,1,2.35386302876633,1.95
"X20130711_Cytoscan_MM295_.CytoScanHD_Array.",99.1280333586317,0.95,2.46686635125259,1.9
"X20131105_Cytoscan_MM339_.CytoScanHD_Array.",98.7799659656698,0.81,1.96950118155461,1.9
"MM_cytoscanHD14032018_940_.CytoScanHD_Array.",94.5016314122388,0.78,2.3538031157094,1.85
"X20131001_Cytoscan_MM322_.CytoScanHD_Array.",98.8096003831389,0.66,1.89688117973418,2
"X20131001_Cytoscan_MM323_.CytoScanHD_Array.",99.145329456686,0.78,2.22241032532406,2
"X20131104_Cytoscan_MM324_.CytoScanHD_Array.",98.1361688473024,0.89,1.94351658151459,1.95
"MM_cytoscanHD26012018_934_.CytoScanHD_Array.",95.4089758889234,0.85,1.85237192335891,2
"X20131105_Cytoscan_MM340_.CytoScanHD_Array.",94.0763468720349,0.89,1.99295944769379,2.1
"X20131105_Cytoscan_MM341_.CytoScanHD_Array.",98.2703380234428,0.85,2.25745255058717,1.9
"MM_cytoscanHD_10262017_867_.CytoScanHD_Array.",98.4703311504651,1,2.24099566283236,1.9
"MM__CytoscanHD_03072018.1035_.CytoScanHD_Array._2",99.4798426923489,0.8,2.0000368695735,2.05
"MM_cytoscanHD14032018_941_.CytoScanHD_Array.",98.7042393146171,0.86,2.1927061229992,1.9
"X20131105_Cytoscan_MM342_.CytoScanHD_Array.",99.6609989340522,0.93,2.41517060050934,1.9
"X20131105_Cytoscan_MM343_.CytoScanHD_Array.",98.7655374873714,0.88,1.96518475304875,2.1
"X20131125_Cytoscan_MM_346_.CytoScanHD_Array.",99.1277335023425,0.85,1.99438967989913,1.95
"X20131125_Cytoscan_MM_347_.CytoScanHD_Array.",93.5726543445232,0.7,2.36841345232476,1.9
"MM_cytoscanHD14032018_942_.CytoScanHD_Array.",99.2776711756921,1,2.26997207513865,1.9
"X20131105_Cytoscan_MM344_.CytoScanHD_Array.",99.1185556584332,0.77,2.42875473399563,1.9
"MM_cytoscanHD14032018_943_.CytoScanHD_Array.",99.424792243433,0.98,2.34046593155394,1.9
"MM_cytoscanHD14032018_944_.CytoScanHD_Array.",97.8672448729204,0.74,2.69116509004433,3.3
"MM__CytoscanHD_10052018_998_.CytoScanHD_Array.",98.9740249137778,0.84,2.24562471459686,1.9
"MM_cytoscanHD22032018_945_.CytoScanHD_Array.",97.5916497955688,0.87,1.98073795219476,2
"X20131125_Cytoscan_MM_349_.CytoScanHD_Array.",99.5434781484737,0.86,2.31517225195898,1.9
"X20130725_Cytoscan_MM302_.CytoScanHD_Array.",97.9186401129204,0.83,2.41044630234663,2
"MM_cytoscanHD3042018_956_.CytoScanHD_Array.",98.2984474997012,0.83,2.1229938247305,1.95
"MM_cytoscanHD3042018_957_.CytoScanHD_Array.",96.7676573910043,0.63,2.838294275269,1.95
