# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
MMRF_1016_1_BM	-0.423000	0.991000
MMRF_1021_1_BM	-1.038000	0.978000
MMRF_1029_1_BM	-1.097000	1.200000
MMRF_1030_1_BM	-0.568000	1.075000
MMRF_1031_1_BM	-0.982000	1.829000
MMRF_1032_1_BM	-0.100000	1.986000
MMRF_1033_1_BM	-0.330000	1.043000
MMRF_1037_1_BM	-0.322000	1.701000
MMRF_1045_1_BM	-0.100000	1.117000
MMRF_1048_1_BM	-1.091000	0.950000
MMRF_1049_1_BM	-1.086000	2.954000
MMRF_1054_1_BM	-0.100000	0.252000
MMRF_1055_1_BM	-0.832000	1.879000
MMRF_1068_1_BM	-0.394000	1.210000
MMRF_1073_1_BM	-1.143000	2.841000
MMRF_1077_1_BM	-1.038000	1.090000
MMRF_1078_1_BM	-1.070000	0.967000
MMRF_1079_1_BM	-1.091000	1.566000
MMRF_1082_1_BM	-1.051000	1.098000
MMRF_1086_1_BM	-1.110000	1.980000
MMRF_1089_1_BM	-0.817000	2.107000
MMRF_1090_1_BM	-0.100000	1.040000
MMRF_1092_1_BM	-0.100000	2.048000
MMRF_1098_1_BM	-1.103000	0.100000
MMRF_1100_1_BM	-0.981000	0.410000
MMRF_1107_1_BM	-1.084000	1.998000
MMRF_1108_1_BM	-0.902000	1.129000
MMRF_1127_1_BM	-0.791000	0.740000
MMRF_1128_1_BM	-1.617000	0.100000
MMRF_1129_1_BM	-1.077000	0.955000
MMRF_1148_1_BM	-0.948000	1.675000
MMRF_1151_1_BM	-1.026000	2.368000
MMRF_1153_1_BM	-1.118000	1.753000
MMRF_1157_1_BM	-0.255000	0.100000
MMRF_1164_1_BM	-0.699000	0.100000
MMRF_1167_1_BM	-1.103000	1.920000
MMRF_1169_1_BM	-0.862000	1.129000
MMRF_1171_1_BM	-1.126000	2.036000
MMRF_1178_1_BM	-0.983000	0.996000
MMRF_1179_1_BM	-1.140000	0.422000
MMRF_1180_1_BM	-1.087000	2.071000
MMRF_1185_1_BM	-0.530000	0.209000
MMRF_1188_1_BM	-0.386000	1.355000
MMRF_1189_1_BM	-1.067000	1.201000
MMRF_1195_1_BM	-1.045000	2.006000
MMRF_1202_1_BM	-1.089000	1.071000
MMRF_1210_1_BM	-0.312000	1.953000
MMRF_1212_1_BM	-1.264000	0.792000
MMRF_1216_1_BM	-1.072000	2.062000
MMRF_1231_1_BM	-0.215000	0.100000
MMRF_1250_1_BM	-1.093000	1.942000
MMRF_1251_1_BM	-0.952000	0.394000
MMRF_1267_1_BM	-1.054000	1.043000
MMRF_1269_1_BM	-0.440000	0.994000
MMRF_1270_1_BM	-1.086000	0.100000
MMRF_1274_1_BM	-1.036000	1.114000
MMRF_1283_1_BM	-0.563000	1.738000
MMRF_1284_1_BM	-0.100000	1.629000
MMRF_1285_1_BM	-1.063000	1.091000
MMRF_1286_1_BM	-1.002000	0.100000
MMRF_1293_1_BM	-0.100000	1.054000
MMRF_1300_1_BM	-1.054000	1.124000
MMRF_1307_1_BM	-1.057000	0.883000
MMRF_1309_1_BM	-0.999000	1.022000
MMRF_1311_1_BM	-1.071000	1.015000
MMRF_1318_1_BM	-1.019000	1.218000
MMRF_1323_1_BM	-1.021000	1.472000
MMRF_1324_1_BM	-1.143000	0.982000
MMRF_1325_1_BM	-0.228000	0.100000
MMRF_1327_1_BM	-1.167000	0.874000
MMRF_1328_1_BM	-1.053000	1.101000
MMRF_1331_1_BM	-1.100000	1.826000
MMRF_1332_1_BM	-1.104000	0.984000
MMRF_1338_1_BM	-0.249000	0.565000
MMRF_1339_1_BM	-1.093000	1.551000
MMRF_1342_1_BM	-1.059000	2.088000
MMRF_1344_1_BM	-1.087000	1.930000
MMRF_1348_1_BM	-0.938000	0.976000
MMRF_1349_1_BM	-1.082000	0.975000
MMRF_1352_1_BM	-0.100000	0.763000
MMRF_1354_1_BM	-0.774000	1.183000
MMRF_1356_1_BM	-1.033000	1.013000
MMRF_1358_1_BM	-0.100000	1.179000
MMRF_1359_1_BM	-1.043000	1.025000
MMRF_1360_1_BM	-1.049000	2.159000
MMRF_1361_1_BM	-1.055000	1.954000
MMRF_1364_1_BM	-1.222000	0.100000
MMRF_1365_1_BM	-1.058000	0.100000
MMRF_1371_1_BM	-1.033000	1.938000
MMRF_1377_1_BM	-1.195000	0.100000
MMRF_1380_1_BM	-1.112000	1.036000
MMRF_1383_1_BM	-1.097000	2.022000
MMRF_1386_1_BM	-0.100000	0.100000
MMRF_1388_1_BM	-1.113000	2.017000
MMRF_1389_1_BM	-1.096000	0.100000
MMRF_1391_1_BM	-1.093000	1.107000
MMRF_1392_1_BM	-1.141000	1.953000
MMRF_1393_1_BM	-0.267000	1.741000
MMRF_1395_1_BM	-0.100000	2.025000
MMRF_1401_1_BM	-0.100000	1.117000
MMRF_1403_1_BM	-1.110000	1.059000
MMRF_1408_1_BM	-0.407000	2.232000
MMRF_1413_1_BM	-0.100000	3.066000
MMRF_1423_1_BM	-1.043000	1.104000
MMRF_1424_1_BM	-1.103000	0.602000
MMRF_1425_1_BM	-0.296000	1.808000
MMRF_1426_1_BM	-0.100000	1.210000
MMRF_1431_1_BM	-0.484000	2.477000
MMRF_1432_1_BM	-1.068000	0.873000
MMRF_1433_1_BM	-1.082000	1.067000
MMRF_1434_1_BM	-0.796000	0.852000
MMRF_1436_1_BM	-0.100000	0.989000
MMRF_1439_1_BM	-1.130000	0.967000
MMRF_1445_1_BM	-1.152000	0.631000
MMRF_1446_1_BM	-1.078000	0.224000
MMRF_1447_1_BM	-1.072000	2.862000
MMRF_1450_1_BM	-1.128000	1.604000
MMRF_1451_1_BM	-1.084000	0.968000
MMRF_1453_1_BM	-1.104000	1.278000
MMRF_1454_1_BM	-1.135000	0.698000
MMRF_1460_1_BM	-1.072000	0.964000
MMRF_1461_1_BM	-1.135000	1.000000
MMRF_1462_1_BM	-1.032000	0.366000
MMRF_1466_1_BM	-0.980000	1.831000
MMRF_1474_1_BM	-0.222000	2.183000
MMRF_1484_1_BM	-0.100000	0.100000
MMRF_1485_1_BM	-0.100000	1.014000
MMRF_1486_1_BM	-0.181000	1.498000
MMRF_1489_1_BM	-0.323000	1.834000
MMRF_1491_1_BM	-1.133000	0.100000
MMRF_1497_1_BM	-1.074000	0.242000
MMRF_1499_1_BM	-1.208000	0.248000
MMRF_1501_1_BM	-1.093000	2.064000
MMRF_1502_1_BM	-1.083000	2.037000
MMRF_1505_1_BM	-1.087000	1.016000
MMRF_1506_1_BM	-1.114000	0.100000
MMRF_1510_1_BM	-1.020000	1.913000
MMRF_1511_1_BM	-0.955000	1.070000
MMRF_1512_1_BM	-0.241000	1.119000
MMRF_1516_1_BM	-0.231000	0.100000
MMRF_1519_1_BM	-1.110000	1.992000
MMRF_1522_1_BM	-0.100000	1.724000
MMRF_1523_1_BM	-1.076000	0.976000
MMRF_1525_1_BM	-0.100000	0.976000
MMRF_1531_1_BM	-0.936000	1.017000
MMRF_1533_1_BM	-1.049000	1.955000
MMRF_1534_1_BM	-0.100000	0.947000
MMRF_1535_1_BM	-0.932000	0.945000
MMRF_1537_1_BM	-0.760000	1.243000
MMRF_1538_1_BM	-0.100000	1.826000
MMRF_1539_1_BM	-0.100000	1.041000
MMRF_1540_1_BM	-0.760000	0.100000
MMRF_1541_1_BM	-0.100000	0.880000
MMRF_1542_1_BM	-0.943000	1.146000
MMRF_1543_1_BM	-0.100000	2.051000
MMRF_1546_1_BM	-0.941000	1.741000
MMRF_1547_1_BM	-0.942000	0.327000
MMRF_1550_1_BM	-1.076000	1.993000
MMRF_1555_1_BM	-1.091000	2.055000
MMRF_1556_1_BM	-0.100000	0.100000
MMRF_1560_1_BM	-1.050000	1.061000
MMRF_1564_1_BM	-0.332000	1.669000
MMRF_1565_1_BM	-0.100000	1.082000
MMRF_1568_1_BM	-1.099000	1.022000
MMRF_1570_1_BM	-0.100000	0.993000
MMRF_1572_1_BM	-1.059000	0.229000
MMRF_1573_1_BM	-0.100000	1.996000
MMRF_1574_1_BM	-0.246000	1.973000
MMRF_1576_1_BM	-1.041000	1.820000
MMRF_1577_1_BM	-0.233000	1.088000
MMRF_1579_1_BM	-0.348000	0.912000
MMRF_1580_1_BM	-1.079000	0.100000
MMRF_1583_1_BM	-1.127000	0.957000
MMRF_1586_1_BM	-1.084000	0.996000
MMRF_1587_1_BM	-1.164000	0.898000
MMRF_1588_1_BM	-0.285000	0.968000
MMRF_1589_1_BM	-0.721000	0.956000
MMRF_1593_1_BM	-1.065000	0.254000
MMRF_1595_1_BM	-1.011000	0.100000
MMRF_1596_1_BM	-1.154000	1.772000
MMRF_1597_1_BM	-1.034000	1.069000
MMRF_1598_1_BM	-1.079000	0.915000
MMRF_1601_1_BM	-0.235000	0.100000
MMRF_1602_1_BM	-0.843000	0.100000
MMRF_1603_1_BM	-0.848000	1.014000
MMRF_1605_1_BM	-1.099000	0.913000
MMRF_1607_1_BM	-0.100000	0.576000
MMRF_1608_1_BM	-0.972000	1.951000
MMRF_1610_1_BM	-1.043000	0.100000
MMRF_1613_1_BM	-1.102000	1.085000
MMRF_1614_1_BM	-0.555000	2.085000
MMRF_1617_1_BM	-0.100000	0.100000
MMRF_1618_1_BM	-1.060000	1.163000
MMRF_1621_1_BM	-0.993000	2.047000
MMRF_1622_1_BM	-1.087000	2.089000
MMRF_1624_1_BM	-1.049000	1.644000
MMRF_1625_1_BM	-0.223000	1.179000
MMRF_1627_1_BM	-1.061000	1.960000
MMRF_1628_1_BM	-1.018000	1.024000
MMRF_1629_1_BM	-0.945000	0.980000
MMRF_1630_1_BM	-0.246000	1.544000
MMRF_1633_1_BM	-0.907000	2.019000
MMRF_1634_1_BM	-1.051000	1.100000
MMRF_1637_1_BM	-0.552000	0.947000
MMRF_1639_1_BM	-1.122000	1.320000
MMRF_1640_1_BM	-1.175000	2.417000
MMRF_1641_1_BM	-0.991000	2.012000
MMRF_1642_1_BM	-0.100000	1.509000
MMRF_1643_1_BM	-0.846000	1.831000
MMRF_1644_1_BM	-1.099000	1.050000
MMRF_1645_1_BM	-0.100000	1.112000
MMRF_1646_1_BM	-0.100000	1.760000
