"","ascat.output.goodnessOfFit","ascat.output.aberrantcellfraction","ascat.output.ploidy","ascat.output.psi"
"X20140527_MART_MM_Cyto421_.CytoScanHD_Array.",92.1553304471716,0.9,1.90786216770817,2.3
"MM_CytoscanHD_07052018_989_.CytoScanHD_Array.",98.1445279144592,0.81,2.03076343444686,1.95
"MM_cytoscanHD22032018_953_.CytoScanHD_Array.",99.0897065042729,0.85,2.18151428715176,1.95
"MM_cytoscanHD22032018_954_.CytoScanHD_Array.",96.0429636403343,0.78,3.85699751860089,4.05
"X20140616_MART_MM_Cyto423_.CytoScanHD_Array.",98.9670306945396,0.91,2.56159235079248,2.05
"MM_cytoscanHD22032018_955_.CytoScanHD_Array.",91.0234449069198,0.85,1.78157965383311,1.8
"X20170726_MG_MM_Cyto810_.CytoScanHD_Array.",97.8375526006197,0.83,2.40999465007126,1.95
"X20140527_MART_MM_Cyto420_.CytoScanHD_Array.",95.9143191047185,0.86,2.35078326720494,1.95
"MM_CytoscanHD_07052018_990_.CytoScanHD_Array.",97.6130597064258,0.72,2.27078896662651,1.9
"X20140527_MART_MM_Cyto419_.CytoScanHD_Array.",94.0961542948449,0.9,1.92240875068603,2
"MM_CytoscanHD_07052018_991_.CytoScanHD_Array.",90.1361193730131,0.71,2.28687485429797,1.8
"MM_CytoscanHD_07052018_984_.CytoScanHD_Array.",95.6658195505072,0.75,2.38826656548017,1.85
"MM__CytoscanHD_11062018_1020_.CytoScanHD_Array.",99.0088390499699,0.6,1.99926376070418,2
"X20160727_MG_MM_Cyto609_.CytoScanHD_Array.",97.1099138262999,0.74,3.89612804188383,3.95
"X20160727_MG_MM_Cyto610_.CytoScanHD_Array.",95.8927178516559,0.82,2.54614131108972,2.05
"MM__CytoscanHD_11062018_1021_.CytoScanHD_Array.",96.6608191734483,0.78,2.03230734783716,2
"X20160727_MG_MM_Cyto604_.CytoScanHD_Array.",94.9251195480355,0.77,5.14640408361251,4.95
"X20160503_MG_MM_Cyto561_.CytoScanHD_Array.",95.7190079287554,0.79,3.87609749390596,4
"X20160503_MG_MM_Cyto562_.CytoScanHD_Array.",98.308736282882,0.8,1.94843214058983,2.05
"X20160503_MG_MM_Cyto563_.CytoScanHD_Array.",98.3397134618083,0.88,1.99252853455351,2
"X20161109_MG_MM_Cyto681_.CytoScanHD_Array.",92.2318417283661,0.35,4.78111801604825,4.1
"X20160503_MG_MM_Cyto564_.CytoScanHD_Array.",97.139256862442,1,2.46678301065415,2.15
