Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	2121	0.03	0.04	-6.91	1	0.10	0.11	-2.85	1
1q	1955	0.34	0.35	12.6	0	0.02	0.03	-6.21	1
2p	924	0.05	0.05	-5.58	1	0.01	0.01	-7.95	1
2q	1556	0.03	0.03	-7.39	1	0.02	0.02	-7.85	1
3p	1062	0.38	0.38	15.7	0	0.01	0.01	-6.74	1
3q	1139	0.42	0.42	18.4	0	0.00	0.00	-6.98	1
4p	489	0.07	0.08	-3.49	1	0.07	0.08	-3.61	1
4q	1049	0.08	0.08	-3.6	1	0.05	0.05	-5.48	1
5p	270	0.41	0.41	18.8	0	0.01	0.02	-5.6	1
5q	1427	0.39	0.40	16	0	0.02	0.03	-5.54	1
6p	1173	0.15	0.16	1.06	0.355	0.03	0.03	-6.42	1
6q	839	0.08	0.09	-2.94	1	0.15	0.16	1.65	0.319
7p	641	0.30	0.31	11.2	0	0.02	0.03	-6.12	1
7q	1277	0.32	0.33	11.9	0	0.01	0.01	-7.15	1
8p	580	0.03	0.04	-5.44	1	0.26	0.27	8.85	0
8q	859	0.06	0.06	-4.72	1	0.06	0.06	-4.72	1
9p	422	0.49	0.50	24.3	0	0.02	0.03	-4.88	1
9q	1113	0.53	0.53	25.2	0	0.00	0.01	-5.95	1
10p	409	0.02	0.02	-7.26	1	0.06	0.06	-4.6	1
10q	1268	0.02	0.02	-7.53	1	0.04	0.04	-6.6	1
11p	862	0.38	0.38	15.9	0	0.02	0.03	-5.56	1
11q	1515	0.44	0.45	19.5	0	0.02	0.04	-5.14	1
12p	575	0.01	0.01	-7.67	1	0.13	0.13	-0.354	1
12q	1447	0.00	0.00	-8.72	1	0.07	0.07	-4.55	1
13q	654	0.00	0.01	-5.97	1	0.50	0.51	24.4	0
14q	1341	0.00	0.01	-7.9	1	0.22	0.22	5.22	8.96e-07
15q	1355	0.47	0.47	21	0	0.00	0.00	-6.6	1
16p	872	0.04	0.04	-6.3	1	0.08	0.09	-3.34	1
16q	702	0.04	0.05	-4.72	1	0.27	0.28	9.12	0
17p	683	0.07	0.09	-3.16	1	0.13	0.14	0.286	1
17q	1592	0.09	0.10	-3.08	1	0.04	0.05	-6.07	1
18p	143	0.12	0.13	0.217	0.928	0.08	0.09	-2.33	1
18q	446	0.13	0.14	0.181	0.928	0.06	0.07	-4.14	1
19p	995	0.52	0.54	25.6	0	0.04	0.08	-2.5	1
19q	1709	0.45	0.48	20.4	0	0.06	0.11	-1.99	1
20p	355	0.05	0.05	-5.03	1	0.11	0.12	-0.924	1
20q	753	0.05	0.06	-5.12	1	0.05	0.05	-5.36	1
21q	509	0.26	0.26	8.59	0	0.02	0.03	-5.88	1
22q	921	0.02	0.02	-6.64	1	0.21	0.22	5.15	1.04e-06
