# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
MM_cytoscanHD_10192017_863_.CytoScanHD_Array.	-1.175000	2.546000
MM_cytoscanHD_10022017_856_.CytoScanHD_Array.	-0.100000	2.230000
MM_cytoscanHD28022018_938_.CytoScanHD_Array.	-1.348000	1.574000
X20130731_Cytoscan_MM305_.CytoScanHD_Array.	-1.173000	1.333000
X20130731_Cytoscan_MM306_.CytoScanHD_Array.	-1.369000	1.488000
MM_cytoscanHD3042018_958_.CytoScanHD_Array.	-1.202000	1.318000
X20130731_Cytoscan_MM308_.CytoScanHD_Array.	-1.215000	0.240000
X20130731_Cytoscan_MM307_.CytoScanHD_Array.	-0.100000	2.286000
MM_cytoscanHD3042018_959_.CytoScanHD_Array.	-1.600000	0.100000
X20131104_Cytoscan_MM325_.CytoScanHD_Array.	-0.238000	2.128000
X20130731_Cytoscan_MM309_.CytoScanHD_Array.	-1.299000	2.702000
X20130731_Cytoscan_MM311_.CytoScanHD_Array.	-1.146000	1.238000
MM_cytoscanHD14032018_939_.CytoScanHD_Array.	-0.274000	1.514000
X20130731_Cytoscan_MM312_.CytoScanHD_Array.	-1.286000	2.847000
X20130731_Cytoscan_MM313_.CytoScanHD_Array.	-0.100000	0.100000
X20130711_Cytoscan_MM293_.CytoScanHD_Array.	-0.100000	1.465000
X20130731_Cytoscan_MM315_.CytoScanHD_Array.	-1.110000	1.119000
X20131001_Cytoscan_MM316_.CytoScanHD_Array.	-1.178000	2.496000
MM_cytoscanHD_10022017_857_.CytoScanHD_Array.	-1.241000	2.367000
X20131001_Cytoscan_MM319_.CytoScanHD_Array.	-0.100000	1.300000
MM_cytoscanHD_10022017_858_.CytoScanHD_Array.	-0.100000	1.121000
X20131001_Cytoscan_MM320_.CytoScanHD_Array.	-1.310000	0.100000
X20131104_Cytoscan_MM326_.CytoScanHD_Array.	-0.202000	2.100000
MM_cytoscanHD3042018_960_.CytoScanHD_Array.	-1.000000	0.917000
X20131104_Cytoscan_MM327_.CytoScanHD_Array.	-0.100000	0.100000
X20131104_Cytoscan_MM328_.CytoScanHD_Array.	-0.714000	3.034000
MM_cytoscanHD3042018_961_.CytoScanHD_Array.	-0.100000	2.660000
X20131104_Cytoscan_MM329_.CytoScanHD_Array.	-1.241000	1.208000
X20130725_Cytoscan_MM300_.CytoScanHD_Array.	-0.237000	1.527000
MM_cytoscanHD_10262017_866_.CytoScanHD_Array.	-1.573000	1.845000
X20131001_Cytoscan_MM317_.CytoScanHD_Array.	-0.248000	2.958000
X20131104_Cytoscan_MM330_.CytoScanHD_Array.	-1.028000	0.206000
X20131001_Cytoscan_MM321_.CytoScanHD_Array.	-1.551000	1.515000
X20131104_Cytoscan_MM331_.CytoScanHD_Array.	-0.100000	1.147000
X20130711_Cytoscan_MM295_.CytoScanHD_Array.	-0.100000	2.404000
X20131105_Cytoscan_MM339_.CytoScanHD_Array.	-1.168000	0.552000
MM_cytoscanHD14032018_940_.CytoScanHD_Array.	-1.472000	2.746000
X20131001_Cytoscan_MM322_.CytoScanHD_Array.	-1.216000	0.100000
X20131001_Cytoscan_MM323_.CytoScanHD_Array.	-1.187000	2.365000
X20131104_Cytoscan_MM324_.CytoScanHD_Array.	-1.228000	1.235000
MM_cytoscanHD26012018_934_.CytoScanHD_Array.	-1.325000	0.100000
X20131105_Cytoscan_MM340_.CytoScanHD_Array.	-1.163000	1.148000
X20131105_Cytoscan_MM341_.CytoScanHD_Array.	-1.273000	2.578000
MM_cytoscanHD_10262017_867_.CytoScanHD_Array.	-0.100000	2.182000
MM__CytoscanHD_03072018.1035_.CytoScanHD_Array._2	-0.100000	0.100000
MM_cytoscanHD14032018_941_.CytoScanHD_Array.	-1.302000	1.456000
X20131105_Cytoscan_MM342_.CytoScanHD_Array.	-0.100000	2.092000
X20131105_Cytoscan_MM343_.CytoScanHD_Array.	-1.149000	1.088000
X20131125_Cytoscan_MM_346_.CytoScanHD_Array.	-1.600000	1.811000
X20131125_Cytoscan_MM_347_.CytoScanHD_Array.	-0.577000	2.680000
MM_cytoscanHD14032018_942_.CytoScanHD_Array.	-0.100000	1.243000
X20131105_Cytoscan_MM344_.CytoScanHD_Array.	-0.100000	4.263000
MM_cytoscanHD14032018_943_.CytoScanHD_Array.	-0.100000	1.210000
MM_cytoscanHD14032018_944_.CytoScanHD_Array.	-1.565000	1.076000
MM__CytoscanHD_10052018_998_.CytoScanHD_Array.	-1.268000	1.384000
MM_cytoscanHD22032018_945_.CytoScanHD_Array.	-1.324000	1.535000
X20131125_Cytoscan_MM_349_.CytoScanHD_Array.	-0.100000	2.705000
X20130725_Cytoscan_MM302_.CytoScanHD_Array.	-0.218000	4.071000
MM_cytoscanHD3042018_956_.CytoScanHD_Array.	-1.322000	1.461000
MM_cytoscanHD3042018_957_.CytoScanHD_Array.	-0.240000	3.490000
X20131125_Cytoscan_MM_350_.CytoScanHD_Array.	-0.100000	1.575000
X20131125_Cytoscan_MM_351_.CytoScanHD_Array.	-0.100000	1.682000
X20131125_Cytoscan_MM_352_.CytoScanHD_Array.	-1.240000	2.422000
