sample	segment_count	included
MM_cytoscanHD_10192017_863_.CytoScanHD_Array.	59	yes
MM_cytoscanHD_10022017_856_.CytoScanHD_Array.	58	yes
MM_cytoscanHD28022018_938_.CytoScanHD_Array.	191	yes
X20130731_Cytoscan_MM305_.CytoScanHD_Array.	69	yes
X20130731_Cytoscan_MM306_.CytoScanHD_Array.	65	yes
MM_cytoscanHD3042018_958_.CytoScanHD_Array.	52	yes
X20130731_Cytoscan_MM308_.CytoScanHD_Array.	62	yes
X20130731_Cytoscan_MM307_.CytoScanHD_Array.	46	yes
MM_cytoscanHD3042018_959_.CytoScanHD_Array.	66	yes
X20131104_Cytoscan_MM325_.CytoScanHD_Array.	92	yes
X20130731_Cytoscan_MM309_.CytoScanHD_Array.	60	yes
X20130731_Cytoscan_MM311_.CytoScanHD_Array.	76	yes
MM_cytoscanHD14032018_939_.CytoScanHD_Array.	44	yes
X20130731_Cytoscan_MM312_.CytoScanHD_Array.	338	yes
X20130731_Cytoscan_MM313_.CytoScanHD_Array.	38	yes
X20130711_Cytoscan_MM293_.CytoScanHD_Array.	191	yes
X20130731_Cytoscan_MM315_.CytoScanHD_Array.	46	yes
X20131001_Cytoscan_MM316_.CytoScanHD_Array.	65	yes
MM_cytoscanHD_10022017_857_.CytoScanHD_Array.	111	yes
X20131001_Cytoscan_MM319_.CytoScanHD_Array.	38	yes
MM_cytoscanHD_10022017_858_.CytoScanHD_Array.	41	yes
X20131001_Cytoscan_MM320_.CytoScanHD_Array.	35	yes
X20131104_Cytoscan_MM326_.CytoScanHD_Array.	53	yes
MM_cytoscanHD3042018_960_.CytoScanHD_Array.	69	yes
X20131104_Cytoscan_MM327_.CytoScanHD_Array.	55	yes
X20131104_Cytoscan_MM328_.CytoScanHD_Array.	58	yes
MM_cytoscanHD3042018_961_.CytoScanHD_Array.	70	yes
X20131104_Cytoscan_MM329_.CytoScanHD_Array.	101	yes
X20130725_Cytoscan_MM300_.CytoScanHD_Array.	90	yes
MM_cytoscanHD_10262017_866_.CytoScanHD_Array.	142	yes
X20131001_Cytoscan_MM317_.CytoScanHD_Array.	132	yes
X20131104_Cytoscan_MM330_.CytoScanHD_Array.	99	yes
X20131001_Cytoscan_MM321_.CytoScanHD_Array.	81	yes
X20131104_Cytoscan_MM331_.CytoScanHD_Array.	64	yes
X20130711_Cytoscan_MM295_.CytoScanHD_Array.	79	yes
X20131105_Cytoscan_MM339_.CytoScanHD_Array.	51	yes
MM_cytoscanHD14032018_940_.CytoScanHD_Array.	172	yes
X20131001_Cytoscan_MM322_.CytoScanHD_Array.	53	yes
