Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	2121	0.10	0.11	-5.82	1	0.12	0.14	-4.3	1
1q	1955	0.37	0.38	13.8	0	0.04	0.06	-8.13	1
2p	924	0.11	0.11	-4.75	1	0.04	0.05	-9.64	1
2q	1556	0.08	0.09	-7.31	1	0.05	0.05	-9.66	1
3p	1062	0.43	0.44	19.7	0	0.03	0.05	-7.65	1
3q	1139	0.46	0.47	22.2	0	0.02	0.04	-7.88	1
4p	489	0.10	0.12	-4.05	1	0.12	0.13	-2.91	1
4q	1049	0.12	0.13	-3.6	1	0.09	0.11	-5.34	1
5p	270	0.48	0.49	25.1	0	0.02	0.05	-6.93	1
5q	1427	0.47	0.48	22	0	0.03	0.06	-7.19	1
6p	1173	0.24	0.25	5.2	2.49e-07	0.05	0.06	-7.89	1
6q	839	0.14	0.17	-0.319	1	0.16	0.19	1.11	0.521
7p	641	0.36	0.38	15.6	0	0.04	0.06	-7.08	1
7q	1277	0.37	0.38	15.1	0	0.03	0.05	-7.97	1
8p	580	0.04	0.06	-7.42	1	0.27	0.28	8.33	0
8q	859	0.10	0.11	-4.71	1	0.09	0.09	-6	1
9p	422	0.56	0.58	31.4	0	0.03	0.07	-5.47	1
9q	1113	0.59	0.60	31.5	0	0.02	0.04	-6.87	1
10p	409	0.04	0.05	-9.28	1	0.08	0.09	-6.32	1
10q	1268	0.05	0.06	-9.32	1	0.08	0.08	-7.66	1
11p	862	0.38	0.39	16.5	0	0.03	0.05	-7.59	1
11q	1515	0.44	0.45	19.5	0	0.03	0.05	-7.61	1
12p	575	0.03	0.03	-10	1	0.15	0.16	-1.08	1
12q	1447	0.03	0.03	-11.2	1	0.10	0.11	-5.95	1
13q	654	0.02	0.05	-6.82	1	0.51	0.52	26.6	0
14q	1341	0.04	0.05	-9.1	1	0.22	0.23	3.37	0.00161
15q	1355	0.53	0.54	26.7	0	0.01	0.02	-8.44	1
16p	872	0.02	0.03	-10.3	1	0.22	0.22	3.52	0.00104
16q	702	0.02	0.03	-9.3	1	0.35	0.35	13.7	0
17p	683	0.08	0.11	-4.53	1	0.23	0.25	5.8	1.85e-08
17q	1592	0.10	0.12	-4.71	1	0.17	0.19	0.234	1
18p	143	0.16	0.17	0.342	0.793	0.08	0.10	-5.03	1
18q	446	0.17	0.18	0.366	0.793	0.06	0.07	-7.47	1
19p	995	0.59	0.69	36.2	0	0.15	0.35	8.65	0
19q	1709	0.53	0.63	30.4	0	0.16	0.34	7.73	3.39e-14
20p	355	0.04	0.05	-8.32	1	0.17	0.18	0.87	0.681
20q	753	0.05	0.06	-8.48	1	0.13	0.14	-2.99	1
21q	509	0.26	0.28	8.15	5.77e-16	0.07	0.09	-5.16	1
22q	921	0.02	0.03	-8.67	1	0.40	0.41	17.6	0
