sample	segment_count	included
MMRF_1016_1_BM	96	yes
MMRF_1021_1_BM	78	yes
MMRF_1029_1_BM	68	yes
MMRF_1030_1_BM	74	yes
MMRF_1031_1_BM	116	yes
MMRF_1032_1_BM	174	yes
MMRF_1033_1_BM	143	yes
MMRF_1037_1_BM	157	yes
MMRF_1045_1_BM	45	yes
MMRF_1048_1_BM	61	yes
MMRF_1049_1_BM	68	yes
MMRF_1054_1_BM	61	yes
MMRF_1055_1_BM	77	yes
MMRF_1068_1_BM	107	yes
MMRF_1073_1_BM	49	yes
MMRF_1077_1_BM	102	yes
MMRF_1078_1_BM	66	yes
MMRF_1079_1_BM	68	yes
MMRF_1082_1_BM	108	yes
MMRF_1086_1_BM	75	yes
MMRF_1089_1_BM	75	yes
MMRF_1090_1_BM	53	yes
MMRF_1092_1_BM	79	yes
MMRF_1098_1_BM	42	yes
MMRF_1100_1_BM	72	yes
MMRF_1107_1_BM	88	yes
MMRF_1108_1_BM	82	yes
MMRF_1127_1_BM	55	yes
MMRF_1128_1_BM	99	yes
MMRF_1129_1_BM	65	yes
MMRF_1148_1_BM	97	yes
MMRF_1151_1_BM	166	yes
MMRF_1153_1_BM	81	yes
MMRF_1157_1_BM	156	yes
MMRF_1164_1_BM	53	yes
MMRF_1167_1_BM	60	yes
MMRF_1169_1_BM	99	yes
MMRF_1171_1_BM	50	yes
MMRF_1178_1_BM	64	yes
MMRF_1179_1_BM	153	yes
MMRF_1180_1_BM	49	yes
MMRF_1185_1_BM	37	yes
MMRF_1188_1_BM	60	yes
MMRF_1189_1_BM	88	yes
MMRF_1195_1_BM	36	yes
MMRF_1202_1_BM	105	yes
MMRF_1210_1_BM	77	yes
MMRF_1212_1_BM	86	yes
MMRF_1216_1_BM	65	yes
MMRF_1231_1_BM	88	yes
MMRF_1250_1_BM	52	yes
MMRF_1251_1_BM	178	yes
MMRF_1267_1_BM	39	yes
MMRF_1269_1_BM	62	yes
MMRF_1270_1_BM	99	yes
MMRF_1274_1_BM	56	yes
MMRF_1283_1_BM	97	yes
MMRF_1284_1_BM	73	yes
MMRF_1285_1_BM	151	yes
MMRF_1286_1_BM	76	yes
MMRF_1293_1_BM	124	yes
MMRF_1300_1_BM	68	yes
MMRF_1307_1_BM	92	yes
MMRF_1309_1_BM	122	yes
MMRF_1311_1_BM	96	yes
MMRF_1318_1_BM	123	yes
MMRF_1323_1_BM	88	yes
MMRF_1324_1_BM	72	yes
MMRF_1325_1_BM	79	yes
MMRF_1327_1_BM	59	yes
MMRF_1328_1_BM	52	yes
MMRF_1331_1_BM	47	yes
MMRF_1332_1_BM	107	yes
MMRF_1338_1_BM	60	yes
MMRF_1339_1_BM	84	yes
MMRF_1342_1_BM	182	yes
MMRF_1344_1_BM	63	yes
MMRF_1348_1_BM	41	yes
MMRF_1349_1_BM	71	yes
MMRF_1352_1_BM	44	yes
MMRF_1354_1_BM	64	yes
MMRF_1356_1_BM	87	yes
MMRF_1358_1_BM	43	yes
MMRF_1359_1_BM	101	yes
MMRF_1360_1_BM	124	yes
MMRF_1361_1_BM	71	yes
MMRF_1364_1_BM	151	yes
MMRF_1365_1_BM	64	yes
MMRF_1371_1_BM	85	yes
MMRF_1377_1_BM	105	yes
MMRF_1380_1_BM	99	yes
MMRF_1383_1_BM	99	yes
MMRF_1386_1_BM	60	yes
MMRF_1388_1_BM	84	yes
