log2_FoldChange	pvalue	neg_log10_pvalue	gene	strict	status	top20
0.09706108174207823	0.9982976102819433	7.399684968439486e-4	TSPAN6	0	NA	0
-0.08660010587250877	1	-0	DPM1	0	NA	0
0.6007888346128842	0.9999999999999575	1.8466870984495842e-14	SCYL3	0	NA	0
0.8581789724623337	0.934429015886922	0.029453684311378455	C1orf112	0	NA	0
-0.16929438431843624	0.9995832762529159	1.8101854381978385e-4	FGR	0	NA	0
0.24819998314711467	0.9971860205713653	0.0012238184467154843	CFH	0	NA	0
-0.05417522698532995	1	-0	FUCA2	0	NA	0
0.022331650491170585	1	-0	GCLC	0	NA	0
0.22303380315055943	1	-0	NFYA	0	NA	0
-0.46934819885354395	0.9999998217353516	7.741936000873754e-8	STPG1	0	NA	0
-0.1375329752094041	1	-0	NIPAL3	0	NA	0
0.014828445187915484	1	-0	LAS1L	0	NA	0
0.8156464400449615	0.9236400072935999	0.0344972639634531	ENPP4	0	NA	0
-0.3708827132837951	0.9989402254217746	4.604983067065135e-4	SEMA3F	0	NA	0
0.08771838685383848	1	-0	ANKIB1	0	NA	0
0.24783185575052524	1	-0	CYP51A1	0	NA	0
-0.16311904478181116	1	-0	KRIT1	0	NA	0
-0.015342678068269056	1	-0	RAD52	0	NA	0
0.7598638504973696	0.929266539596524	0.03185970035160272	MYH16	0	NA	0
-0.24473247476674143	1	-0	BAD	0	NA	0
0.1238061988241741	1	-0	LAP3	0	NA	0
0.15005010808340846	0.9985994105558846	6.086946322031246e-4	CD99	0	NA	0
0.5102870622809279	0.99096532658448	0.00394154101065856	HS3ST1	0	NA	0
1.29162265957289	0.19316183172737258	0.7140786848966736	AOC1	0	NA	0
-0.5404045308839043	0.9977586087084531	9.745164144492294e-4	WNT16	0	NA	0
0.2335978014111495	0.9977859239806627	9.626270561325274e-4	HECW1	0	NA	0
-0.026198155417419322	1	-0	MAD1L1	0	NA	0
0.19379258225415885	1	-0	LASP1	0	NA	0
0.0040764794685186345	1	-0	SNX11	0	NA	0
0.10343278303461934	0.9992882122217513	3.0923557249073607e-4	TMEM176A	0	NA	0
0.055138031338380245	1	-0	M6PR	0	NA	0
2.050610514454713	8.787627495065243e-5	4.056128360976201	KLHL13	1	upreg	0
-0.0770248113217642	0.9999997238553768	1.1992810260788848e-7	CYP26B1	0	NA	0
0.4916199932921379	0.9929109935377701	0.003089680757291106	ICA1	0	NA	0
0.12553799717706837	0.9999983072411645	7.351564436927275e-7	DBNDD1	0	NA	0
0.23872309926831115	1	-0	ALS2	0	NA	0
0.014868240989918569	1	-0	CASP10	0	NA	0
0.3449500029253283	0.9999999999999902	4.243040852834484e-15	CFLAR	0	NA	0
0.31859693178722914	0.9999855462391583	6.2772339412489455e-6	TFPI	0	NA	0
-0.023721484902108347	1	-0	NDUFAF7	0	NA	0
-0.3130953593696013	1	-0	RBM5	0	NA	0
-0.2938123221731952	1	-0	MTMR7	0	NA	0
0.039905852783333806	0.9993112106442547	2.992404850591752e-4	SLC7A2	0	NA	0
0.18976885477380456	1	-0	ARF5	0	NA	0
-0.6194522590469465	0.9998644322817978	5.888030316379824e-5	SARM1	0	NA	0
0.22766509584797134	1	-0	POLDIP2	0	NA	0
-0.4974464653705465	0.9865016671679723	0.005902176462232019	PLXND1	0	NA	0
0.049740987433509964	1	-0	AK2	0	NA	0
-0.08850169599503488	1	-0	CD38	0	NA	0
0.4149178625646339	1	-0	FKBP4	0	NA	0
0.16669920846649067	1	-0	KDM1A	0	NA	0
-0.2886351655277757	1	-0	RBM6	0	NA	0
-0.1040412306457612	1	-0	CAMKK1	0	NA	0
0.28986062581738015	1	-0	RECQL	0	NA	0
0.014442105935129401	1	-0	VPS50	0	NA	0
0.2028043850736525	0.9999881880637134	5.1298890468980075e-6	HSPB6	0	NA	0
-0.10557819320257611	1	-0	ARHGAP33	0	NA	0
0.1281210606972527	1	-0	NDUFAB1	0	NA	0
-0.7351333308395855	0.8417946395159033	0.07479384413334675	PDK4	0	NA	0
-0.7522521678435599	0.8576373714307275	0.0666963029165499	SLC22A16	0	NA	0
-0.46052429659684896	0.9999955982843254	1.9116450356556446e-6	ZMYND10	0	NA	0
-0.1790180474125811	0.993216661179229	0.0029560037796660383	ARX	0	NA	0
0.24795910674429766	1	-0	SLC25A13	0	NA	0
-0.08896524482484836	1	-0	ST7	0	NA	0
0.01441019226774376	1	-0	CDC27	0	NA	0
-0.8344068354841415	0.7132129429857526	0.1467807840941488	SLC4A1	0	NA	0
-0.5641048584308237	0.9880379224272762	0.005226386196946893	CALCR	0	NA	0
0.30148593066297424	1	-0	HCCS	0	NA	0
0.22110613143485658	1	-0	DVL2	0	NA	0
-0.1814025400708532	1	-0	UPF1	0	NA	0
0.12578797942610764	0.9999999999999973	1.157192959863946e-15	SKAP2	0	NA	0
-0.0090917247356046	1	-0	SLC25A5	0	NA	0
0.24684582493728202	1	-0	MCUB	0	NA	0
0.05994336847190773	1	-0	POLR2J	0	NA	0
0.09950849051844912	1	-0	DHX33	0	NA	0
-1.2263228397970949	0.23608709346902565	0.6269277545070199	THSD7A	0	NA	0
0.23128983202540532	1	-0	LIG3	0	NA	0
0.09211707756556065	1	-0	RPAP3	0	NA	0
-0.3417761175436911	0.9999999991658586	3.622630171136167e-10	ACSM3	0	NA	0
0.5241771861669025	0.9999968038062876	1.388091510678795e-6	REXO5	0	NA	0
0.15170716657999694	1	-0	CIAPIN1	0	NA	0
-0.06820822509845748	1	-0	SPPL2B	0	NA	0
0.044771409878314294	1	-0	FAM214B	0	NA	0
0.0037466061628246283	0.9999999975632562	1.0582643903654154e-9	COPZ2	0	NA	0
-0.39402134490311497	0.9997178446865514	1.2255578636673352e-4	PRKAR2B	0	NA	0
-0.20821576590486224	1	-0	MSL3	0	NA	0
-0.01793606241377166	1	-0	CREBBP	0	NA	0
-0.18247191679389596	0.9999999854318921	6.326848937154945e-9	TSPOAP1	0	NA	0
-0.5363454891973927	0.9392088668455839	0.027237816007095773	MPO	0	NA	0
0.3174083130596701	1	-0	GCFC2	0	NA	0
