alteration	MTGC.Bolo	events.Bolo	penetrance.Bolo	Driverness_Index.Bolo	MTGC.CoMM	events.CoMM	penetrance.CoMM	Driverness_Index.CoMM
IgH traslocation	6.399014778325123	203	0.496	7.7509999999999994	5.639204545454546	352	0.419	7.430000000000001
Del 13q	9.288990825688073	218	0.533	5.738	9.753807106598984	394	0.469	4.808
Amp 1q	9.863636363636363	154	0.377	3.8219999999999996	11.127946127946128	297	0.354	3.1809999999999996
Amp 19p	14.295918367346939	196	0.479	3.351	14.310195227765727	461	0.549	3.836
Amp 9q	14.191256830601093	183	0.447	3.15	14.19078947368421	456	0.543	3.826
Amp 11q	13.544378698224852	169	0.413	3.049	14.041666666666666	336	0.4	2.849
Amp 9p	14.42134831460674	178	0.435	3.016	14.443935926773456	437	0.52	3.5999999999999996
Amp 15q	14.909090909090908	176	0.43	2.884	14.722488038277511	418	0.498	3.383
Amp 19q	14.69767441860465	172	0.421	2.864	14.73365617433414	413	0.492	3.3390000000000004
Amp 3q	14.301282051282051	156	0.381	2.664	14.963788300835654	359	0.427	2.854
Amp 5p	14.874172185430464	151	0.369	2.481	15.143243243243242	370	0.44	2.9059999999999997
Amp 5q	14.889655172413793	145	0.355	2.384	15.204986149584487	361	0.43	2.828
Amp 3p	14.5	136	0.333	2.297	15.237654320987655	324	0.386	2.533
Amp 11p	14.949640287769784	139	0.34	2.274	15.237113402061855	291	0.346	2.271
Del 1p	11.098039215686274	102	0.249	2.244	10.903409090909092	176	0.21	1.926
Del 14q	9.616279069767442	86	0.21	2.1839999999999997	9.173913043478262	161	0.192	2.093
Del 16q	12.466019417475728	103	0.252	2.021	12.221052631578948	190	0.226	1.849
Amp 7q	15.512396694214877	121	0.296	1.908	16.08992805755396	278	0.331	2.057
Amp 7p	15.620689655172415	116	0.284	1.818	16.176470588235293	272	0.324	2.003
Amp 21q	14.989795918367347	98	0.24	1.601	15.525510204081632	196	0.233	1.5010000000000001
Del 8p	12.397435897435898	78	0.191	1.541	12.875	152	0.181	1.406
Del 22q	9.844827586206897	58	0.142	1.442	10.822222222222223	90	0.107	0.989
Del 6q	11.134615384615385	52	0.127	1.141	11.361702127659575	94	0.112	0.9860000000000001
Amp 8q	12.229166666666666	48	0.117	0.9570000000000001	14.427272727272728	110	0.131	0.9079999999999999
Amp 6p	14.528301886792454	53	0.13	0.895	15.858024691358025	162	0.193	1.217
Del 17p	12.125	40	0.098	0.808	12.2875	80	0.095	0.773
Del 20p	10.617647058823529	34	0.083	0.782	12.129032258064516	62	0.074	0.61
Del 12p	10.878787878787879	33	0.081	0.745	11.163934426229508	61	0.073	0.654
Amp 18q	16.02127659574468	47	0.115	0.718	16.673267326732674	101	0.12	0.72
Amp 18p	15.822222222222223	45	0.11	0.695	16.896907216494846	97	0.115	0.681
Amp 4q	13.766666666666667	30	0.073	0.53	16.945454545454545	55	0.065	0.384
Amp 17q	16.6875	32	0.078	0.46699999999999997	18	73	0.087	0.483
Del 8q	11.571428571428571	21	0.051	0.441	11.285714285714286	28	0.033	0.292
Del 18p	12.782608695652174	23	0.056	0.438	13.15625	32	0.038	0.28900000000000003
Amp 4p	14.125	24	0.059	0.418	16.86	50	0.06	0.356
Del 16p	12.55	20	0.049	0.38999999999999996	12.193548387096774	31	0.037	0.303
Amp 17p	17.423076923076923	26	0.064	0.367	18.098360655737704	61	0.073	0.40299999999999997
Del 4p	13.736842105263158	19	0.046	0.335	12.114285714285714	35	0.042	0.347
Amp 6q	14.85	20	0.049	0.33	16.788888888888888	90	0.107	0.637
Del 18q	14.31578947368421	19	0.046	0.321	16.071428571428573	14	0.017	0.106
Del 12q	12.3125	16	0.039	0.317	12.1875	32	0.038	0.312
Del 20q	12.066666666666666	15	0.037	0.307	14.04	25	0.03	0.214
Amp 2p	16.63157894736842	19	0.046	0.27699999999999997	18.892307692307693	65	0.077	0.40800000000000003
Del 10p	13.466666666666667	15	0.037	0.27499999999999997	12.214285714285714	14	0.017	0.13899999999999998
Del 4q	15.133333333333333	15	0.037	0.244	12.565217391304348	23	0.027	0.215
Amp 20q	16.6	15	0.037	0.22300000000000003	18.56	25	0.03	0.16199999999999998
Amp 1p	10.88888888888889	9	0.022	0.202	12.280701754385966	57	0.068	0.5539999999999999
Amp 16q	12.3	10	0.024	0.19499999999999998	13.153846153846153	13	0.015	0.11399999999999999
Amp 20p	17.571428571428573	14	0.034	0.193	18.434782608695652	23	0.027	0.146
Del 11q	8.5	6	0.015	0.17600000000000002	9	1	0.001	0.011000000000000001
Del 5q	6.5	4	0.01	0.154	10.5	6	0.007	0.067
Amp 16p	13.375	8	0.02	0.15	16.0625	16	0.019	0.11800000000000001
Del 7p	8.4	5	0.012	0.14300000000000002	12.75	4	0.005	0.039
Amp 8p	15.25	8	0.02	0.131	17.736842105263158	19	0.023	0.13
Del 2q	5.666666666666667	3	0.007	0.124	16.25	8	0.01	0.062
Amp 2q	17.88888888888889	9	0.022	0.123	19.895833333333332	48	0.057	0.28600000000000003
Del 5p	6	3	0.007	0.117	11	2	0.002	0.018000000000000002
Del 6p	13.166666666666666	6	0.015	0.11399999999999999	15.833333333333334	6	0.007	0.044000000000000004
Amp 10q	14	6	0.015	0.107	19.12	25	0.03	0.157
Del 9p	11.2	5	0.012	0.107	10.666666666666666	6	0.007	0.066
Amp 22q	15.666666666666666	6	0.015	0.096	19.875	8	0.01	0.05
Del 10q	17.857142857142858	7	0.017	0.095	12.833333333333334	12	0.014	0.109
Del 11p	10.75	4	0.01	0.093	9.285714285714286	7	0.008	0.086
Del 3p	7	2	0.005	0.07100000000000001	6.5	4	0.005	0.077
Amp 10p	14.5	4	0.01	0.06899999999999999	19.6	20	0.024	0.122
Del 17q	17.5	4	0.01	0.056999999999999995	13.5	14	0.017	0.126
Del 7q	9	2	0.005	0.055999999999999994	15	1	0.001	0.006999999999999999
Amp 12p	14.333333333333334	3	0.007	0.049	20.09090909090909	11	0.013	0.065
Amp 13q	5	1	0.002	0.04	16.666666666666668	3	0.004	0.024
Del 1q	17.333333333333332	3	0.007	0.04	19.5	6	0.007	0.036000000000000004
Amp 14q	13.5	2	0.005	0.037	14.6	15	0.018	0.123
Amp 12q	18	2	0.005	0.027999999999999997	21.333333333333332	9	0.011	0.052
Del 21q	22.5	2	0.005	0.022000000000000002	10.5	10	0.012	0.11399999999999999
Del 19q	16	1	0.002	0.013	11	2	0.002	0.018000000000000002
Del 2p	NA	0	0	NA	23.666666666666668	3	0.004	0.017
Del 3q	NA	0	0	NA	NA	0	0	NA
Del 9q	NA	0	0	NA	25	1	0.001	0.004
Del 15q	NA	0	0	NA	NA	0	0	NA
Del 19p	NA	0	0	NA	NA	0	0	NA
