Alteration	Amp 1q	Amp 2p	Amp 3p	Amp 3q	Amp 4p	Amp 4q	Amp 5p	Amp 5q	Amp 6p	Amp 6q	Amp 7p	Amp 7q	Amp 8q	Amp 9p	Amp 9q	Amp 11p	Amp 11q	Amp 15q	Amp 17p	Amp 17q	Amp 18p	Amp 18q	Amp 19p	Amp 19q	Amp 20q	Amp 21q	Del 1p	Del 4p	Del 6q	Del 8p	Del 8q	Del 10p	Del 12p	Del 12q	Del 13q	Del 14q	Del 16p	Del 16q	Del 17p	Del 18p	Del 18q	Del 20p	Del 20q	Del 22q	t 4 14	t 11 14	t others	t IgH	HyperDiploidy
Amp 1q	1	0.10104838322253608	-0.13949568712603236	-0.10785883392573718	-0.09053728970278159	-0.042499049042098114	-0.18030340421141908	-0.1733869976867434	0.019855575071566694	-0.07583033829557466	-0.04116501233632655	-0.03426280412228863	0.08597403090410334	-0.10828486865393973	-0.11044898676533858	-0.26103102846984844	-0.2935757985028769	-0.18529692127031033	0.013768708915918157	0.03637697875152624	0.07712235825063495	0.10594949285754103	-0.18241885168312807	-0.19832303939046653	0.07477594427785432	-0.0948505817685269	0.015724566974605298	0.009124188734238361	0.014543739798659186	0.07181658681445548	-0.011775675399822706	-0.02303303058911084	-0.04730095028991191	0.03279929955203799	0.32162447370530395	0.01374213619856824	0.08620547511423894	0.09570883991429185	-0.03032186491730958	0.08820316178635045	0.05273237576246956	0.11051077463061483	0.010130413510933346	0.12397575445800627	0.21629378340143016	-0.14011947629741317	0.14952401712804578	0.13583110095398376	-0.10878666471103354
Amp 2p	0.10104838322253608	1	0.06478970518958083	0.07457489421482869	-0.020126530230127043	-0.022610388441440935	0.2001437710475003	0.2021550349394033	0.11386182845353074	0.00907482714309355	0.1918178010769349	0.20561269632136633	0.17640244369063737	0.12565978554974302	0.1186020702455329	0.09510185884124543	0.09510334744493812	0.20217099316602466	-0.011342409786853034	-0.010208106390792851	0.23478817545150668	0.249078175115868	0.16012477907897607	0.18505725852906885	0.24243756381542542	0.15345238437577086	-0.04703288070117089	-0.04135565354600916	-0.03891556737939684	0.05465588678316127	-0.03455939394269022	-0.01441376923723029	-0.006918177723658624	-0.02277490486142979	-0.005245290882207687	-0.04273426789294523	-0.03202125668849658	0.014684536345562257	-0.017172993132116416	0.07875648193554359	0.1067701142831606	0.018677186639126923	-0.03590975605171417	-0.009972683350801205	-0.0330025514686908	-0.11122798013949116	-0.06704466726332267	-0.1627296754654432	0.13639509471913977
Amp 3p	-0.13949568712603236	0.06478970518958083	1	0.9269884194986049	0.22046416049590356	0.20988088355897225	0.459663339132919	0.47546989978416426	0.20301507823147444	0.24857936952978368	0.5020633040402438	0.5071102973358568	0.021582699351311626	0.5906493267322833	0.5583657550057183	0.578779777325128	0.5178012814440784	0.6259175501529496	0.2718780222140397	0.2591195920155807	0.18001830207455477	0.17015685921239065	0.6107430425165747	0.6051455887528637	0.07001859024954792	0.3667166672702781	-0.048777326137520255	-0.046511909683418166	-0.0687808776672116	-0.013563467885526417	-0.1253265862077658	-0.0892107713444225	-0.08672086325351769	-0.0884291210220467	-0.24592158152689422	-0.13994767558636637	-0.113377359718722	-0.10157290367932258	-0.1403411098928227	-0.0218455812658459	-0.04159529346455838	-0.10936222805595076	-0.0836860451886464	-0.18512191793592578	-0.016485835952851097	-0.30426626940242363	-0.11003109095153732	-0.30349850282542035	0.600956526534534
Amp 3q	-0.10785883392573718	0.07457489421482869	0.9269884194986049	1	0.19571241232930123	0.19704846954095787	0.48156636639244527	0.4908646818052828	0.24950117917655845	0.2393256555512164	0.5063613395699834	0.5010387420993264	0.04104329325326523	0.6048264615203437	0.5791956781794836	0.5781899562588748	0.5074148239793136	0.6464739322669191	0.2638936945848101	0.24956455227976415	0.22239213567146238	0.21059015570402032	0.616886846630021	0.6179369761835107	0.06389841529671636	0.3913135716017863	-0.05398508520543369	-0.062259506111911264	-0.05700868425119922	-7.803349749041449e-4	-0.14181223599256498	-0.07617243617423523	-0.09939387016634532	-0.08682756318989093	-0.2442688077827632	-0.14247654473563817	-0.10999318682336491	-0.07864459128214407	-0.11551260767593076	-0.0428269132294574	-0.05887492428263017	-0.11966143633042084	-0.08453712860048858	-0.1693262179449201	-0.02248791905845882	-0.3303246430179392	-0.10055336813666052	-0.3303043014012347	0.6254250646576076
Amp 4p	-0.09053728970278159	-0.020126530230127043	0.22046416049590356	0.19571241232930123	1	0.9120695828878256	0.005137194526783458	0.01467907235453443	0.06568295308973802	0.11380444937148654	0.03429403064518155	0.05471998160989114	-0.043381897323261344	0.15280325239364873	0.14555695382833436	0.21085634644068424	0.19440889790605154	0.2060994995091816	0.04418826508244464	0.04413886146795845	0.05495603650270748	0.05975160289737424	0.2053123948002621	0.20815736841599486	0.05792904675059284	0.16260128599615428	-0.07026283686290846	-0.060206329359132955	-0.0450159511867074	-0.04049763235356778	-0.0066168333514159535	-0.04511103394579704	-0.002741849261832157	-0.03840383651567268	-0.013863659329262845	-0.003458789025806426	-0.06045442475059935	-0.07286334778750268	-0.039603187982351705	-0.02260456365917026	-0.052502018098450315	-0.07702371373267812	-0.05135520849509411	-0.08160694432050865	0.06141059439817374	-0.10025666782414512	0.003251362160327094	-0.029517144278289085	0.19280674062699218
Amp 4q	-0.042499049042098114	-0.022610388441440935	0.20988088355897225	0.19704846954095787	0.9120695828878256	1	0.00291005214990805	0.013137159154763144	0.0712290225180899	0.1290878730430805	0.020202813469601216	0.055076474676309974	-0.04015015907128981	0.13617501639326335	0.12802905703358153	0.2005262334707665	0.18007205022280354	0.20380278359553514	0.030276619132530477	0.028936200527195706	0.059871212986142786	0.06353964599751516	0.17745482462148934	0.19806592980255178	0.04545669328254045	0.1317019422781057	-0.07336939411154075	-0.06461318944625485	-0.034794335309037194	-0.05369757808297309	-0.015132532275132043	-0.045123161957824995	-0.011948934244319753	-0.016828543525591374	0.012626296460858794	-0.014793213335143999	-0.03309454833572867	-0.0822872583719152	-0.03731817267506524	-0.027645798340566692	-0.05316727660556927	-0.08064549437613658	-0.055468831462997956	-0.07389045565738772	0.08067488159721499	-0.11431539524960509	0.025221975554062248	-0.015511517576540705	0.17853653268762992
Amp 5p	-0.18030340421141908	0.2001437710475003	0.459663339132919	0.48156636639244527	0.005137194526783458	0.00291005214990805	1	0.9615416078273009	0.20117001701228895	0.13058216417195093	0.5692726237352136	0.566070721270388	0.08892775507406847	0.749104912886223	0.7252116033754413	0.5213268609237572	0.4706666628821766	0.7664416528532899	0.2025201512531265	0.21829422503225318	0.2205491100048422	0.21342180046574533	0.740038226590206	0.7448547512887181	0.1323990678625589	0.43032463797972537	-0.046602145444831086	-0.01699936233623393	-0.0382329925470082	0.0297084913404859	-0.09873853487588215	-0.11800732875773146	-0.09817206695012122	-0.1043267159327734	-0.23966022623875152	-0.2347722594948676	-0.07608054713822268	0.060046926025774	-0.09365323255978479	-0.04934687324954956	0.031802725819694	-0.09302826874936954	-0.07926906246308743	-0.13543037793618953	-0.2962551846924604	-0.36417423619929695	-0.1890531131152852	-0.6468080536084944	0.6836116383373819
Amp 5q	-0.1733869976867434	0.2021550349394033	0.47546989978416426	0.4908646818052828	0.01467907235453443	0.013137159154763144	0.9615416078273009	1	0.20699206530506695	0.13961413783988244	0.58615371845839	0.5671033590717337	0.09084213465942466	0.7445400207270638	0.7209338315544035	0.510849313209366	0.47002044232559376	0.7623205501354984	0.20311217712896637	0.2203529062747064	0.18377504951275683	0.17525916391987903	0.7372623202002745	0.7392979665066481	0.1405348120177388	0.4028686031911917	-0.06784965013725952	-0.04820178159950004	-0.07989148065048526	0.007642832079355069	-0.10805574216916367	-0.13891963185681586	-0.10843107668479576	-0.10767626941064828	-0.250251066781843	-0.24568721253220088	-0.0918796177561505	0.021943224296601234	-0.12377227977973589	-0.05744148723439755	0.02172008363054081	-0.11640534010339385	-0.07347310083462552	-0.15540424557736698	-0.2917251890080655	-0.3503591609306932	-0.19334556922016335	-0.6347759253099348	0.668994949486225
Amp 6p	0.019855575071566694	0.11386182845353074	0.20301507823147444	0.24950117917655845	0.06568295308973802	0.0712290225180899	0.20117001701228895	0.20699206530506695	1	0.6250375551768916	0.22836181670360065	0.2157983261591104	0.05263303951971314	0.19320577930002372	0.19875794308561837	0.2083043037858605	0.15482224596854138	0.24990838605692556	0.19974522860834074	0.17962982304524994	0.0570938750733773	0.05908605670573228	0.21129346013724168	0.21688063670692684	0.07068244211426843	0.049695465230740796	-0.09047661995943734	-0.05336482074042547	-0.02320162597630458	0.12955083760945646	0.00817967128039982	-0.02356098026376846	-0.06343752744368497	-0.03203837000271634	-0.0260428506276004	-0.03011667231358039	-0.06544214537354266	-0.06323016389992356	-0.024412019910649112	-0.034610263611097265	-0.01497593414958948	-0.03603354077421112	-0.022330869427014125	-0.06689909957077692	0.04085524454309095	-0.1500615760225809	-0.04357868597776877	-0.10449983321390403	0.2140347708221172
Amp 6q	-0.07583033829557466	0.00907482714309355	0.24857936952978368	0.2393256555512164	0.11380444937148654	0.1290878730430805	0.13058216417195093	0.13961413783988244	0.6250375551768916	1	0.10453357975540885	0.09677686553881386	0.01284484719952877	0.1906941605011845	0.18041409266461517	0.15856693140335842	0.13250024490160525	0.2326847850949504	0.27228415434805014	0.24794033807145413	0.02538842558513863	0.02109764226777463	0.1715051606017533	0.17526857408208124	0.03800879018269811	0.017711063245010834	-0.0700764708276137	-0.04531286369120475	-0.10123844110794251	-0.08831350081254218	-0.04820790739399048	-0.04448871110673084	-0.04127397289909483	-0.04906460177877245	-0.07771164875093349	-0.0544088089045018	-0.06068385888875618	-0.07399456361689062	-0.05354976055911045	0.03405169842890748	0.04973480102872256	-0.03562498709007662	-0.05448871743830438	-0.07415729704010714	0.06810558836516314	-0.08396734563455775	-0.07620926349310185	-0.03667200850424282	0.18589449208278844
