Alteration	Amp 1p	Amp 1q	Amp 2p	Amp 2q	Amp 3p	Amp 3q	Amp 4p	Amp 4q	Amp 5p	Amp 5q	Amp 6p	Amp 6q	Amp 7p	Amp 7q	Amp 8q	Amp 9p	Amp 9q	Amp 11p	Amp 11q	Amp 15q	Amp 17p	Amp 17q	Amp 18p	Amp 18q	Amp 19p	Amp 19q	Amp 21q	Del 1p	Del 4p	Del 6q	Del 8p	Del 12p	Del 12q	Del 13q	Del 14q	Del 16p	Del 16q	Del 17p	Del 18p	Del 20p	Del 22q	t 4 14	t 11 14	t others	t IgH	HyperDiploidy
Amp 1p	1	0.40669800752280366	0.13583838021196648	0.14165263699217776	-0.023854019774069934	-0.0038264894205312663	-0.012188155984451122	-0.017422380222392533	-0.04156102715868468	-0.03388857562078546	0.12118895615521334	0.04269547841798558	-0.009186422268372027	0.003458959238074985	0.08602343812197374	0.005756026239258439	-0.011480776081370337	-0.04966453844507973	-0.09102187036018605	-0.00951252048238479	0.0017806649299674504	0.0034939110894575717	0.0793529399101532	0.0751909561023364	-0.021092797957717607	-0.053138526534940105	-0.01601261126547041	-0.0891720074633613	0.09896450067813958	0.056493538254149295	0.017511972171446545	-0.02979142872079218	-0.05437187032941289	0.051566935907860725	-0.048013745668752474	0.022874947562837495	-0.0367202880849203	-0.02700550607938384	0.049603939730161306	-0.03650170204405298	-0.03336809830831535	0.07144476093994848	-0.06625176753734527	0.07792472331352764	0.03602578977142956	-0.02018068137243259
Amp 1q	0.40669800752280366	1	0.18275907325533844	0.1629927870190143	-0.029704972032842177	-0.014893521209297366	-0.02119752598626321	-0.034030526485491194	-0.073790298939779	-0.08110440764585901	0.1720965618356059	0.03861478959430944	0.03936069820770489	0.03846142563676907	0.1064270049654173	-0.038318051606692695	-0.02671393662349676	-0.18502848112010603	-0.26530874605951066	-0.07682960926591395	0.072472923582559	0.08308557792025653	0.11459376785831192	0.12506821059535286	-0.02300214218448929	-0.0804532987552842	-0.0706854568211252	-0.07278620346172343	0.07387284834876577	0.010193619225834581	0.07683261713056858	-0.026523075089532718	-0.043185121528173456	0.255766964043041	0.003977380072629916	-0.036895610314336656	0.09906106125179605	-0.09744898307121072	0.008191852003965107	-0.01552158328741661	-0.0554090977578942	0.1383318557620742	-0.16878897731465534	0.09705117003950542	0.003430506975991853	-0.026262487350700015
Amp 2p	0.13583838021196648	0.18275907325533844	1	0.8456260066784068	0.26247780685551214	0.2616677095828587	0.11389890146767281	0.12422650400459939	0.2284671191078248	0.2317637038570635	0.3326803066802921	0.2670881039518657	0.257987486966802	0.27617458448071447	0.19210643051391796	0.23958865552038025	0.21967337288118807	0.21654661344823858	0.19112901783263442	0.2602673696588788	0.18115262622374292	0.2503774260674788	0.14333093813997533	0.1353905152042636	0.26209595822160286	0.2575162943881898	0.18576177962153492	-0.06178360542061222	-0.030797644569617602	-0.06874088281482094	0.05679768042645374	0.004995491158526198	-1.2274064321730335e-4	-0.06842230582172508	-0.045694283758876436	-0.004928057991025835	0.06601887612359499	0.010647339046584202	0.0018973265604357822	-0.040858037424950665	-0.0700021898337605	-0.05287758646653835	-0.14728451218015454	-0.042469909554009914	-0.1781574545952701	0.20470353100498206
Amp 2q	0.14165263699217776	0.1629927870190143	0.8456260066784068	1	0.2555331069669933	0.24628002377901304	0.13184996104365995	0.14672822346964437	0.22153860704000372	0.2272018875236403	0.3209434090902609	0.2721637179380373	0.2504824302439644	0.26976135500071524	0.1428372401797866	0.2252698824556981	0.2176159342581188	0.2282749106317408	0.1990984758194583	0.24704547097321747	0.2113382156979795	0.256275848252317	0.12082162841327986	0.11157468612606779	0.25503500953993896	0.24889978182262354	0.15885961001394874	-0.06921245840221164	-0.025560439789146714	-0.06240450366817524	0.02852553443566816	-0.042993761435346584	-0.028070715494873718	-0.1321165632799736	-0.046319105485594377	0.006793599009771314	0.016172441584576043	0.011602574501927244	0.004453852830762403	-0.03787896374482333	-0.0610056656402103	-0.08363488332613223	-0.11827134156910098	-0.02307861209396891	-0.16568159333842503	0.1912467486962643
Amp 3p	-0.023854019774069934	-0.029704972032842177	0.26247780685551214	0.2555331069669933	1	0.9053727555063975	0.1649589259456784	0.19241170062903928	0.5225519300125439	0.5182428339657784	0.3048389673871881	0.2799797930644665	0.48231273187123347	0.4905392607738314	0.11347446514139099	0.5717930649857244	0.5514398877410425	0.48377233645201334	0.42143863224152817	0.6083124514486792	0.2554194402925763	0.2767902987988513	0.1913768269156528	0.19123164356459255	0.5822277322947053	0.6001022961980323	0.3582752581555343	-0.07161581451705891	-0.10911541091357838	-0.056441922676047564	0.026956339801108346	-0.08634220057497077	-0.10544824068687553	-0.22708249853116047	-0.16722699007465022	-0.1077641146783712	-0.10525509155944154	-0.04118748426184813	0.0017129776418191914	-0.10107420208000338	-0.09615016831239172	-0.10625006950804551	-0.3844521176956759	-0.12064335932749876	-0.44823090241079006	0.6204249344225438
Amp 3q	-0.0038264894205312663	-0.014893521209297366	0.2616677095828587	0.24628002377901304	0.9053727555063975	1	0.149961701123939	0.17472587533390072	0.5277131556085806	0.5247364643856308	0.3161270194896084	0.2809895490712619	0.5142139387709933	0.5189296207539875	0.10397536908438217	0.582972152280382	0.5615121509151914	0.4924013417905666	0.4210990528305657	0.6287924338470635	0.2483803826587324	0.2783947691685944	0.23304833144373782	0.2386081613427612	0.5879540079829394	0.5950943225573618	0.3667702873397024	-0.07430596546055296	-0.10088124951220534	-0.07703319797855508	0.06000837681711526	-0.09451612471732687	-0.11163595690047082	-0.22613162467652656	-0.17819385090121512	-0.12627268941819356	-0.07743048886975748	-0.033908514921052395	0.01013713797796341	-0.09355345252464647	-0.086442747888015245	-0.11820059659370012	-0.3966044697829806	-0.13243409562354078	-0.4723371045228972	0.6477917472952659
Amp 4p	-0.012188155984451122	-0.02119752598626321	0.11389890146767281	0.13184996104365995	0.1649589259456784	0.149961701123939	1	0.9308013030419932	0.15103738066307656	0.15422241311795476	0.0736997093388513	0.12411361852432612	0.20087415001902115	0.1968013552996185	0.015039699410691543	0.1623731351260187	0.1708837875449862	0.13056892797285158	0.14594076738238657	0.18078723823051246	0.1472655431403589	0.16528828293749342	0.12474403282970992	0.13505455789687687	0.17823293036454965	0.19114124690103534	0.14357910153555453	-0.02584011354573974	-0.07938398510441694	-0.03442337212393331	-0.017785062011125025	-0.04005730132506173	-0.0647706557720906	-0.037535169171693354	-0.07835900841207812	-0.06604285513764553	-0.005640092066288225	-0.016283285901526227	-0.04993041313065765	-3.7873987144074097e-4	-0.03998576907563918	-0.055451114272032004	-0.0722895618686657	-0.04945529847346106	-0.12224802844382875	0.1936111201677943
Amp 4q	-0.017422380222392533	-0.034030526485491194	0.12422650400459939	0.14672822346964437	0.19241170062903928	0.17472587533390072	0.9308013030419932	1	0.17334610524692884	0.17592093283616056	0.08729496224798046	0.10596741554769988	0.22051804281199106	0.2158249968164886	0.004176808983312761	0.1721805900687857	0.17893920143145706	0.15025125791131064	0.1598081325630232	0.20364347851030168	0.1315498135164435	0.1474653727972919	0.13665686550668257	0.14743244619696766	0.19447230864619913	0.2098217008248281	0.1499759799348322	-0.024707594760224993	-0.08150170108565535	-0.008522659519013553	-0.029757765073117216	-0.04282108046108706	-0.06822453208101595	-0.029030412726518868	-0.07423383889642736	-0.0683666722936432	-0.021185046395806355	-0.007863091585864616	-0.04849838507567879	-0.00273976900328168	-0.05951350302025252	-0.05971694370233016	-0.08489044193096694	-0.036209823720625284	-0.12859101593182298	0.2083022619757694
Amp 5p	-0.04156102715868468	-0.073790298939779	0.2284671191078248	0.22153860704000372	0.5225519300125439	0.5277131556085806	0.15103738066307656	0.17334610524692884	1	0.9687392828854345	0.28916494616904626	0.2813218880745779	0.5678745225252894	0.5574881777093149	0.09807362278913986	0.746365191489396	0.7446519029668127	0.5638581313621573	0.4802854895481943	0.7665699908571352	0.21700961949781258	0.23344401298811668	0.17867477923987143	0.1592089691634745	0.7361089079325419	0.741713091828965	0.42110848241818044	-0.025351450350671833	-0.1308000512809405	-0.029957423228698345	0.012362429523043963	-0.13502477375691854	-0.11164497498647923	-0.24196734423271324	-0.2717175406602952	-0.0838563956555313	-0.03799478361266593	-0.05462250863779457	-0.018837861083129487	-0.09931717431881712	-0.09437098804279687	-0.302176616472238	-0.41643974398567196	-0.20227677015029755	-0.6513305885268893	0.7042049146079541
Amp 5q	-0.03388857562078546	-0.08110440764585901	0.2317637038570635	0.2272018875236403	0.5182428339657784	0.5247364643856308	0.15422241311795476	0.17592093283616056	0.9687392828854345	1	0.28888633556015597	0.2879482471664917	0.5579016663714012	0.5500828346100286	0.07817944097451307	0.7463431994737703	0.7440440425462045	0.5584381280359211	0.4751295576118769	0.7695346731879074	0.2161067055777787	0.2439629296266718	0.17278506279484832	0.15365675025450912	0.736918780708574	0.744705421719478	0.43202344572138446	-0.03199467834459773	-0.13103402346102913	-0.050909952419041074	0.006858713288311935	-0.14558215700527363	-0.12075265529247595	-0.26068918743505204	-0.2637573540283833	-0.09437466073534316	-0.050214495786476396	-0.06710018515816552	-0.01247659602694553	-0.12036847758972177	-0.09037860502055424	-0.30679817805121473	-0.41470451205936587	-0.1954066326128607	-0.6495983198388835	0.6971617392596519
