Var1	Var2	value	logP	pval.thresh	Var_fact	pval.thresh_inv
AMP_1q	AMP_1q	NA	NA	NA	AMP_1q	NA
AMP_3p	AMP_1q	0.9999489764124224	-5.102488932510579e-5	0.9999489764124224	AMP_3p	0.001
AMP_3q	AMP_1q	0.998828865515722	-0.0011718207981643361	0.998828865515722	AMP_3q	0.0021980086652126423
AMP_4p	AMP_1q	0.9950591573644827	-0.004953088953230152	0.9950591573644827	AMP_4p	0.018178749340167763
AMP_4q	AMP_1q	0.9328756508136359	-0.06948336588791224	0.9328756508136359	AMP_4q	0.1363739984966162
AMP_5p	AMP_1q	0.9999908029363931	-9.197105900162668e-6	0.9999908029363931	AMP_5p	0.001
AMP_5q	AMP_1q	0.9999938877744876	-6.112244192115576e-6	0.9999938877744876	AMP_5q	0.001
AMP_6p	AMP_1q	0.3785898269403539	-0.9713019107730124	0.3785898269403539	AMP_6p	0.7209421002254307
AMP_6q	AMP_1q	0.9756082722713202	-0.024694133513424914	0.9756082722713202	AMP_6q	0.06665575976329345
AMP_7p	AMP_1q	0.8871466291456829	-0.11974500126392797	0.8871466291456829	AMP_7p	0.15785391957815112
AMP_7q	AMP_1q	0.8997582281375013	-0.1056291871495558	0.8997582281375013	AMP_7q	0.1415007049890262
AMP_8q	AMP_1q	0.04404279032511753	-3.122593610253786	0.04404279032511753	AMP_8q	0.9768051108308246
AMP_9p	AMP_1q	0.9988039459004607	-0.001196769943092452	0.9988039459004607	AMP_9p	0.0022039905476552973
AMP_9q	AMP_1q	0.9982267084504102	-0.001774865692267617	0.9982267084504102	AMP_9q	0.0031899113227971823
AMP_11p	AMP_1q	0.999999999843691	-1.563089657830068e-10	0.999999999843691	AMP_11p	0.001
AMP_11q	AMP_1q	0.9999999999982221	-1.7779111516363061e-12	0.9999999999982221	AMP_11q	0.001
AMP_15q	AMP_1q	0.9999974803615268	-2.5196416474917106e-6	0.9999974803615268	AMP_15q	0.001
AMP_17p	AMP_1q	0.4235097085327397	-0.859178840636286	0.4235097085327397	AMP_17p	0.7161746139639125
AMP_17q	AMP_1q	0.30721217202063056	-1.180216656030579	0.30721217202063056	AMP_17q	0.8027217077811866
AMP_18p	AMP_1q	0.08181355720179281	-2.5033123131428856	0.08181355720179281	AMP_18p	0.9546376791872386
AMP_18q	AMP_1q	0.02027372115088635	-3.898429756142049	0.02027372115088635	AMP_18q	0.990360398897012
AMP_19p	AMP_1q	0.9999760020790889	-2.3998208865833875e-5	0.9999760020790889	AMP_19p	0.001
AMP_19q	AMP_1q	0.9999966492031134	-3.3508025005577466e-6	0.9999966492031134	AMP_19q	0.001
AMP_21q	AMP_1q	0.9838767942462843	-0.016254598868501884	0.9838767942462843	AMP_21q	0.02793893623841813
DEL_1p	AMP_1q	0.0028997491082804246	-5.843131060118354	0.0028997491082804246	DEL_1p	0.9985241724451122
DEL_6q	AMP_1q	0.20826599999406498	-1.568939170182719	0.20826599999406498	DEL_6q	0.8634334708063971
DEL_8p	AMP_1q	0.0059172265027956205	-5.12988743601422	0.0059172265027956205	DEL_8p	0.9970587130251559
DEL_12p	AMP_1q	0.19727829221881343	-1.6231398962397567	0.19727829221881343	DEL_12p	0.8842530844017225
DEL_13q	AMP_1q	5.474375831125557e-16	-35.14128322214844	0.001	DEL_13q	0.9999999999999999
DEL_14q	AMP_1q	0.07531956359529625	-2.586015369218252	0.07531956359529625	DEL_14q	0.9518809166741955
DEL_16p	AMP_1q	9.719055925934832e-4	-6.936251885182401	0.001	DEL_16p	0.9997739308012557
DEL_16q	AMP_1q	4.2999251983810965e-4	-7.7517427451533	0.001	DEL_16q	0.9998021675286168
DEL_17p	AMP_1q	0.04040026021237352	-3.2089190531354403	0.04040026021237352	DEL_17p	0.9798746336987998
DEL_18p	AMP_1q	0.03767579203607458	-3.2787375118352244	0.03767579203607458	DEL_18p	0.984744193920204
DEL_20p	AMP_1q	3.374158432752948e-4	-7.994194432003768	0.001	DEL_20p	0.9999098715473178
DEL_22q	AMP_1q	7.21314649839091e-4	-7.234435108333586	0.001	DEL_22q	0.9997229585197978
t_4_14	AMP_1q	4.25831638270735e-5	-10.064051598134023	0.001	t_4_14	0.999984558206277
t_11_14	AMP_1q	0.9992244334682343	-7.758674390807779e-4	0.9992244334682343	t_11_14	0.00190604821229943
t_others	AMP_1q	7.299442281207733e-4	-7.222542426575011	0.001	t_others	0.9998123829248807
HyperDiploidy	AMP_1q	0.9979214606186133	-0.0020807025423633043	0.9979214606186133	HyperDiploidy	0.0036962528715721336
t_IgH	AMP_1q	0.011891808718933352	-4.431905458828209	0.011891808718933352	t_IgH	0.9931587502575208
AMP_1q	AMP_3p	NA	NA	NA	AMP_1q	NA
AMP_3p	AMP_3p	NA	NA	NA	AMP_3p	NA
AMP_3q	AMP_3p	8.447378884571128e-115	-262.6634294922404	0.001	AMP_3q	1
AMP_4p	AMP_3p	2.937884798901078e-6	-12.737820691702561	0.001	AMP_4p	0.9999996332430898
AMP_4q	AMP_3p	4.155029796638983e-6	-12.391190958409656	0.001	AMP_4q	0.9999993221917667
AMP_5p	AMP_3p	3.511991642963283e-25	-56.308444028647365	0.001	AMP_5p	1
AMP_5q	AMP_3p	3.965920665979986e-26	-58.48947439148271	0.001	AMP_5q	1
AMP_6p	AMP_3p	2.0194175729346568e-5	-10.810116325362635	0.001	AMP_6p	0.9999939117572453
AMP_6q	AMP_3p	9.381186632491821e-7	-13.879389389279238	0.001	AMP_6q	0.9999999025253661
AMP_7p	AMP_3p	1.1741138545444553e-27	-62.00928381411476	0.001	AMP_7p	1
AMP_7q	AMP_3p	6.8833449196861945e-28	-62.543277889848376	0.001	AMP_7q	1
AMP_8q	AMP_3p	0.39850536727543634	-0.9200343121463678	0.39850536727543634	AMP_8q	0.7087703749456384
