Var1	Var2	value	logP	pval.thresh	Var_fact	pval.thresh_inv
AMP_1p	AMP_1p	NA	NA	NA	AMP_1p	NA
AMP_1q	AMP_1p	4.072066608434084e-28	-63.06823196704839	0.001	AMP_1q	1
AMP_2p	AMP_1p	7.39627669767615e-4	-7.2093636473506555	0.001	AMP_2p	0.9998204605191785
AMP_2q	AMP_1p	8.113972840957317e-4	-7.116752754380507	0.001	AMP_2q	0.9998290038824402
AMP_3p	AMP_1p	0.7565620367689831	-0.2789707441338188	0.7565620367689831	AMP_3p	0.34071602803534307
AMP_3q	AMP_1p	0.5920678879682623	-0.5241339750508133	0.5920678879682623	AMP_3q	0.5177137597266754
AMP_4p	AMP_1p	0.6764513674686601	-0.3908947223978755	0.6764513674686601	AMP_4p	0.5546863964055874
AMP_4q	AMP_1p	0.7396693113248184	-0.3015520692511042	0.7396693113248184	AMP_4q	0.4772731600368853
AMP_5p	AMP_1p	0.8405574392221202	-0.17368998912034345	0.8405574392221202	AMP_5p	0.23647590533610366
AMP_5q	AMP_1p	0.7962397782939348	-0.22785490948562315	0.7962397782939348	AMP_5q	0.2915694337626258
AMP_6p	AMP_1p	9.958280001390615e-4	-6.911936005915851	0.001	AMP_6p	0.9996561143866268
AMP_6q	AMP_1p	0.2582079873389511	-1.3539898663503436	0.2582079873389511	AMP_6q	0.8553642617738318
AMP_7p	AMP_1p	0.6050168042997676	-0.5024990456349381	0.6050168042997676	AMP_7p	0.5109952514332924
AMP_7q	AMP_1p	0.5365991316317582	-0.6225039592704202	0.5365991316317582	AMP_7q	0.578831859622446
AMP_8q	AMP_1p	0.47668049835915893	-0.7409088272805973	0.47668049835915893	AMP_8q	0.6759563035906075
AMP_9p	AMP_1p	0.40880635347292066	-0.8945136984499098	0.40880635347292066	AMP_9p	0.6933385014282925
AMP_9q	AMP_1p	0.5498090386854404	-0.598184263434434	0.5498090386854404	AMP_9q	0.5595728947108601
AMP_11p	AMP_1p	0.9373877237355034	-0.06465828965833051	0.9373877237355034	AMP_11p	0.10896404735678938
AMP_11q	AMP_1p	0.9962927820677583	-0.003714106695341182	0.9962927820677583	AMP_11q	0.008715142202826192
AMP_15q	AMP_1p	0.6952853672391861	-0.36343291734644595	0.6952853672391861	AMP_15q	0.4064553014600043
AMP_17p	AMP_1p	0.6087180286400049	-0.49640012565242153	0.6087180286400049	AMP_17p	0.6002793350250656
AMP_17q	AMP_1p	0.5647014214411419	-0.5714581451449382	0.5647014214411419	AMP_17q	0.6255449864340623
AMP_18p	AMP_1p	0.009209959090465526	-4.687469870585208	0.009209959090465526	AMP_18p	0.9966981691253596
AMP_18q	AMP_1p	0.0129891591707103	-4.343640179362283	0.0129891591707103	AMP_18q	0.9951100986383766
AMP_19p	AMP_1p	0.8514114647782406	-0.1608597598833046	0.8514114647782406	AMP_19p	0.22117562299197305
AMP_19q	AMP_1p	0.9638435225400144	-0.03682631856365604	0.9638435225400144	AMP_19q	0.06431544555809622
AMP_21q	AMP_1p	0.7144530984777742	-0.33623792620515874	0.7144530984777742	AMP_21q	0.40693425574678155
DEL_1p	AMP_1p	0.11708342364837707	-2.14486857562855	0.11708342364837707	DEL_1p	0.9338960092299018
DEL_6q	AMP_1p	0.09201501322559927	-2.3858035280119103	0.09201501322559927	DEL_6q	0.9566930044447509
DEL_8p	AMP_1p	0.4605418129311879	-0.7753516284268037	0.4605418129311879	DEL_8p	0.673310698571549
DEL_12p	AMP_1p	0.9323863920846833	-0.07000796643080744	0.9323863920846833	DEL_12p	0.1974989751647957
DEL_13q	AMP_1p	0.15039691166900862	-1.8944774017928596	0.15039691166900862	DEL_13q	0.9047578251368867
DEL_14q	AMP_1p	0.6815563549110488	-0.38337633880503	0.6815563549110488	DEL_14q	0.4534110842349857
DEL_16q	AMP_1p	0.929989685086644	-0.07258178420102823	0.929989685086644	DEL_16q	0.1312191045756613
DEL_17p	AMP_1p	0.8138379603110228	-0.20599399875282862	0.8138379603110228	DEL_17p	0.34953880614939714
DEL_20p	AMP_1p	0.9364102263118388	-0.06570162254522006	0.9364102263118388	DEL_20p	0.18832863472997993
DEL_22q	AMP_1p	0.9570105453634555	-0.043940868401329825	0.9570105453634555	DEL_22q	0.1186754927931712
HyperDiploidy	AMP_1p	0.7464455160097342	-0.29243265058781454	0.7464455160097342	HyperDiploidy	0.34966175086406515
MM_risk_1	AMP_1p	3.9381621511473476e-08	-17.04996658856807	0.001	MM_risk_1	0.9999999921938243
MM_risk_2	AMP_1p	0.12988794546793425	-2.0410831581648745	0.12988794546793425	MM_risk_2	0.919888340088704
MM_risk_3	AMP_1p	1	0	1	MM_risk_3	0.001
t_CCND1	AMP_1p	0.9851139102325309	-0.014997999590282075	0.9851139102325309	t_CCND1	0.03803921255475872
t_MYC	AMP_1p	0.44983225313950015	-0.7988805365151888	0.44983225313950015	t_MYC	0.6935786623518259
t_WHSC1	AMP_1p	0.056426525035786816	-2.8748159289825144	0.056426525035786816	t_WHSC1	0.9741044597678954
AMP_1p	AMP_1q	NA	NA	NA	AMP_1p	NA
AMP_1q	AMP_1q	NA	NA	NA	AMP_1q	NA
AMP_2p	AMP_1q	6.804972067779225e-6	-11.89785702653066	0.001	AMP_2p	0.9999980005731077
AMP_2q	AMP_1q	2.090723893180893e-5	-10.775415098588784	0.001	AMP_2q	0.9999945656649964
AMP_3p	AMP_1q	0.8840343140449923	-0.12325940030486808	0.8840343140449923	AMP_3p	0.1476623108657623
AMP_3q	AMP_1q	0.8259378356544065	-0.19123576779159437	0.8259378356544065	AMP_3q	0.2141638104510348
AMP_4p	AMP_1q	0.8336701401743756	-0.18191747023867408	0.8336701401743756	AMP_4p	0.25576130586659274
AMP_4q	AMP_1q	0.9278443785721082	-0.07489125576259344	0.9278443785721082	AMP_4q	0.1237735039075563
AMP_5p	AMP_1q	0.9815026447930076	-0.01867057062533168	0.9815026447930076	AMP_5p	0.026207236310046837
AMP_5q	AMP_1q	0.9908391814380693	-0.009203036894415689	0.9908391814380693	AMP_5q	0.013473807071375904
AMP_6p	AMP_1q	6.474468046644939e-6	-11.947644108711886	0.001	AMP_6p	0.9999971737104291
AMP_6q	AMP_1q	0.433692553509786	-0.8354193979682125	0.433692553509786	AMP_6q	0.6550627413468242
AMP_7p	AMP_1q	0.12930926194093917	-2.0455483643626233	0.12930926194093917	AMP_7p	0.9002567592256532
AMP_7q	AMP_1q	0.13460478782625876	-2.0054122916295523	0.13460478782625876	AMP_7q	0.8957024595261383
AMP_8q	AMP_1q	0.007097945563905906	-4.94794989400309	0.007097945563905906	AMP_8q	0.9960972755746322
AMP_9p	AMP_1q	0.9441392125759756	-0.05748165276028121	0.9441392125759756	AMP_9p	0.07408145901584526
AMP_9q	AMP_1q	0.8969374190256326	-0.10876918632970825	0.8969374190256326	AMP_9q	0.13145042662482465
AMP_11p	AMP_1q	0.9999999962989046	-3.7010954369799168e-9	0.9999999962989046	AMP_11p	0.001
AMP_11q	AMP_1q	0.9999999999999999	-1.1102230246251565e-16	0.9999999999999999	AMP_11q	0.001
AMP_15q	AMP_1q	0.993756438100269	-0.006263134443115684	0.993756438100269	AMP_15q	0.009301954196655856
AMP_17p	AMP_1q	0.02846527598607194	-3.559070320997359	0.02846527598607194	AMP_17p	0.9851102570121486
AMP_17q	AMP_1q	0.025774899814911042	-3.6583541359960354	0.025774899814911042	AMP_17q	0.9859324834336205
AMP_18p	AMP_1q	0.0016770470692406443	-6.390720729009224	0.0016770470692406443	AMP_18p	0.9991890868724658
AMP_18q	AMP_1q	6.295361744645727e-4	-7.370527240738454	0.001	AMP_18q	0.9997090691013066
AMP_19p	AMP_1q	0.861512931175455	-0.14906521305662856	0.861512931175455	AMP_19p	0.1730276148451336
AMP_19q	AMP_1q	0.9875491486520336	-0.012529012658515186	0.9875491486520336	AMP_19q	0.017942501099625502
AMP_21q	AMP_1q	0.9946834863998386	-0.005330696550157557	0.9946834863998386	AMP_21q	0.008678271197186137
DEL_1p	AMP_1q	1.9234511839690148e-4	-8.556219307840802	0.001	DEL_1p	0.9999017914534751
DEL_6q	AMP_1q	0.2263425107304842	-1.4857058927671354	0.2263425107304842	DEL_6q	0.8356471557799896
DEL_8p	AMP_1q	0.014425714177815102	-4.238742958086323	0.014425714177815102	DEL_8p	0.9910863787959963
DEL_12p	AMP_1q	0.8022586207480076	-0.22032425333721303	0.8022586207480076	DEL_12p	0.28545872756173296
DEL_13q	AMP_1q	3.7415436421310784e-12	-26.311522851117505	0.001	DEL_13q	0.9999999999986712
DEL_14q	AMP_1q	0.05876694227535135	-2.8341757883762284	0.05876694227535135	DEL_14q	0.9595743484750252
DEL_16q	AMP_1q	0.0015414957704174297	-6.47500205445148	0.0015414957704174297	DEL_16q	0.9991213787757218
DEL_17p	AMP_1q	0.9544529426609669	-0.04661693754398972	0.9544529426609669	DEL_17p	0.07572941527951836
DEL_20p	AMP_1q	0.4321987716048695	-0.8388696771048076	0.4321987716048695	DEL_20p	0.6717207550212015
DEL_22q	AMP_1q	0.7796972477430001	-0.248849578565079	0.7796972477430001	DEL_22q	0.2963313501844161
HyperDiploidy	AMP_1q	0.8458366807086669	-0.1674289868199557	0.8458366807086669	HyperDiploidy	0.19157377304013803
MM_risk_1	AMP_1q	5.754149936367369e-109	-249.2318538137983	0.001	MM_risk_1	1
MM_risk_2	AMP_1q	0.649093062758467	-0.4321791784771527	0.649093062758467	MM_risk_2	0.4075554216581258
MM_risk_3	AMP_1q	1	0	1	MM_risk_3	0.001
t_CCND1	AMP_1q	0.9999999380366953	-6.196330662914822e-8	0.9999999380366953	t_CCND1	0.001
t_MYC	AMP_1q	0.04440521481853474	-3.1143983655728715	0.04440521481853474	t_MYC	0.9714385238285095
t_WHSC1	AMP_1q	5.129555723368932e-4	-7.575321320175603	0.001	t_WHSC1	0.9997590505293685
AMP_1p	AMP_2p	NA	NA	NA	AMP_1p	NA
AMP_1q	AMP_2p	NA	NA	NA	AMP_1q	NA
AMP_2p	AMP_2p	NA	NA	NA	AMP_2p	NA
AMP_2q	AMP_2p	8.125432418018486e-61	-138.36269172515796	0.001	AMP_2q	1
AMP_3p	AMP_2p	1.4748146576771312e-12	-27.24248878984423	0.001	AMP_3p	0.9999999999998076
AMP_3q	AMP_2p	5.581589221791949e-13	-28.214132666306373	0.001	AMP_3q	0.9999999999999367
AMP_4p	AMP_2p	0.011022695927061102	-4.507798865697498	0.011022695927061102	AMP_4p	0.9967252200346066
AMP_4q	AMP_2p	0.001997369567751986	-6.215924180202025	0.001997369567751986	AMP_4q	0.9994799072211982
AMP_5p	AMP_2p	7.898959854954283e-10	-20.959119843065775	0.001	AMP_5p	0.9999999998680633
AMP_5q	AMP_2p	2.5295817257562974e-10	-22.09779696665687	0.001	AMP_5q	0.9999999999596937
AMP_6p	AMP_2p	2.3694572984344634e-13	-29.070945267999647	0.001	AMP_6p	0.9999999999999691
AMP_6q	AMP_2p	2.0597078983331236e-8	-17.69811656813068	0.001	AMP_6q	0.9999999966439708
AMP_7p	AMP_2p	7.0040333779590096e-12	-25.684534935959615	0.001	AMP_7p	0.9999999999989424
AMP_7q	AMP_2p	4.0275354437575764e-13	-28.540451572455932	0.001	AMP_7q	0.9999999999999467
