sample	variable	value	status
MMRF_1016_1_BM	chr_1p	0	normal
MMRF_1021_1_BM	chr_1p	0.4683815648445873	subclonal_minor
MMRF_1029_1_BM	chr_1p	0	normal
MMRF_1030_1_BM	chr_1p	0	normal
MMRF_1031_1_BM	chr_1p	0.8821007502679528	subclonal_major
MMRF_1032_1_BM	chr_1p	0	normal
MMRF_1033_1_BM	chr_1p	0	normal
MMRF_1037_1_BM	chr_1p	-0.15112540192926044	subclonal_minor
MMRF_1045_1_BM	chr_1p	0	normal
MMRF_1048_1_BM	chr_1p	0	normal
MMRF_1049_1_BM	chr_1p	0	normal
MMRF_1054_1_BM	chr_1p	0.16291532690246516	subclonal_minor
MMRF_1055_1_BM	chr_1p	0	normal
MMRF_1068_1_BM	chr_1p	0	normal
MMRF_1073_1_BM	chr_1p	0	normal
MMRF_1077_1_BM	chr_1p	-0.1232583065380493	subclonal_minor
MMRF_1078_1_BM	chr_1p	0	normal
MMRF_1079_1_BM	chr_1p	0	normal
MMRF_1082_1_BM	chr_1p	-1.0192926045016075	clonal
MMRF_1086_1_BM	chr_1p	0	normal
MMRF_1089_1_BM	chr_1p	0.9271168274383708	clonal
MMRF_1090_1_BM	chr_1p	0	normal
MMRF_1092_1_BM	chr_1p	0	normal
MMRF_1098_1_BM	chr_1p	0	normal
MMRF_1100_1_BM	chr_1p	0.17041800643086816	subclonal_minor
MMRF_1107_1_BM	chr_1p	0	normal
MMRF_1108_1_BM	chr_1p	0	normal
MMRF_1127_1_BM	chr_1p	0	normal
MMRF_1128_1_BM	chr_1p	-1.1232583065380493	clonal
MMRF_1129_1_BM	chr_1p	0.7920685959271168	subclonal_major
MMRF_1148_1_BM	chr_1p	0	normal
MMRF_1151_1_BM	chr_1p	0	normal
MMRF_1153_1_BM	chr_1p	0.9346195069667738	clonal
MMRF_1157_1_BM	chr_1p	0	normal
MMRF_1164_1_BM	chr_1p	0	normal
MMRF_1167_1_BM	chr_1p	0	normal
MMRF_1169_1_BM	chr_1p	-0.48231511254019294	subclonal_minor
MMRF_1171_1_BM	chr_1p	0	normal
MMRF_1178_1_BM	chr_1p	0.90032154340836	clonal
MMRF_1179_1_BM	chr_1p	0	normal
MMRF_1180_1_BM	chr_1p	0	normal
MMRF_1185_1_BM	chr_1p	-0.3097534833869239	subclonal_minor
MMRF_1188_1_BM	chr_1p	0.07824222936763128	normal
MMRF_1189_1_BM	chr_1p	0	normal
MMRF_1195_1_BM	chr_1p	0	normal
MMRF_1202_1_BM	chr_1p	1.0407288317256163	clonal
MMRF_1210_1_BM	chr_1p	0	normal
MMRF_1212_1_BM	chr_1p	-0.2604501607717042	subclonal_minor
MMRF_1216_1_BM	chr_1p	0	normal
MMRF_1231_1_BM	chr_1p	0	normal
MMRF_1250_1_BM	chr_1p	0	normal
MMRF_1251_1_BM	chr_1p	0.2840300107181136	subclonal_minor
MMRF_1267_1_BM	chr_1p	0	normal
MMRF_1269_1_BM	chr_1p	-0.36441586280814575	subclonal_minor
MMRF_1270_1_BM	chr_1p	0	normal
MMRF_1274_1_BM	chr_1p	0	normal
MMRF_1283_1_BM	chr_1p	0	normal
MMRF_1284_1_BM	chr_1p	0	normal
MMRF_1285_1_BM	chr_1p	0	normal
MMRF_1286_1_BM	chr_1p	0	normal
MMRF_1293_1_BM	chr_1p	0	normal
MMRF_1300_1_BM	chr_1p	0	normal
MMRF_1307_1_BM	chr_1p	0	normal
