sample	variable	value	status
MM_cytoscanHD_10192017_863	chr_1p	0	normal
MM_cytoscanHD_10022017_856	chr_1p	0	normal
MM_cytoscanHD28022018_938	chr_1p	0	normal
X20130731_Cytoscan_MM305	chr_1p	0	normal
X20130731_Cytoscan_MM306	chr_1p	0	normal
MM_cytoscanHD3042018_958	chr_1p	0	normal
X20130731_Cytoscan_MM308	chr_1p	0	normal
X20130731_Cytoscan_MM307	chr_1p	0	normal
MM_cytoscanHD3042018_959	chr_1p	0	normal
X20131104_Cytoscan_MM325	chr_1p	0	normal
X20130731_Cytoscan_MM309	chr_1p	0	normal
X20130731_Cytoscan_MM311	chr_1p	0	normal
MM_cytoscanHD14032018_939	chr_1p	0	normal
X20130731_Cytoscan_MM312	chr_1p	0	normal
X20130731_Cytoscan_MM313	chr_1p	0	normal
X20130711_Cytoscan_MM293	chr_1p	0	normal
X20130731_Cytoscan_MM315	chr_1p	0	normal
X20131001_Cytoscan_MM316	chr_1p	0	normal
MM_cytoscanHD_10022017_857	chr_1p	0	normal
X20131001_Cytoscan_MM319	chr_1p	0	normal
MM_cytoscanHD_10022017_858	chr_1p	0	normal
X20131001_Cytoscan_MM320	chr_1p	0	normal
X20131104_Cytoscan_MM326	chr_1p	0	normal
MM_cytoscanHD3042018_960	chr_1p	-0.7464285714285713	subclonal_major
X20131104_Cytoscan_MM327	chr_1p	0	normal
X20131104_Cytoscan_MM328	chr_1p	-0.09732142857142856	normal
MM_cytoscanHD3042018_961	chr_1p	0	normal
X20131104_Cytoscan_MM329	chr_1p	0	normal
X20130725_Cytoscan_MM300	chr_1p	0	normal
MM_cytoscanHD_10262017_866	chr_1p	-0.7642857142857142	subclonal_major
X20131001_Cytoscan_MM317	chr_1p	0	normal
X20131104_Cytoscan_MM330	chr_1p	-0.26696428571428565	subclonal_minor
X20131001_Cytoscan_MM321	chr_1p	0	normal
X20131104_Cytoscan_MM331	chr_1p	0	normal
X20130711_Cytoscan_MM295	chr_1p	0	normal
X20131105_Cytoscan_MM339	chr_1p	0	normal
MM_cytoscanHD14032018_940	chr_1p	0	normal
