event_all	n_all	percentage_all	event_maj	n_maj	percentage_maj	event_minor	n_minor	percentage_minor
AMP_all-broad_chr_1p	16	0.031	AMP_maj-broad_chr_1p	11	0.021	AMP_minor-broad_chr_1p	5	0.009999999999999998
AMP_all-broad_chr_1q	175	0.341	AMP_maj-broad_chr_1q	157	0.306	AMP_minor-broad_chr_1q	18	0.03500000000000003
AMP_all-broad_chr_2p	26	0.051	AMP_maj-broad_chr_2p	22	0.043	AMP_minor-broad_chr_2p	4	0.008
AMP_all-broad_chr_2q	14	0.027	AMP_maj-broad_chr_2q	12	0.023	AMP_minor-broad_chr_2q	2	0.004
AMP_all-broad_chr_3p	195	0.38	AMP_maj-broad_chr_3p	177	0.345	AMP_minor-broad_chr_3p	18	0.03500000000000003
AMP_all-broad_chr_3q	218	0.425	AMP_maj-broad_chr_3q	198	0.386	AMP_minor-broad_chr_3q	20	0.03899999999999998
AMP_all-broad_chr_4p	36	0.07	AMP_maj-broad_chr_4p	27	0.053	AMP_minor-broad_chr_4p	9	0.017000000000000008
AMP_all-broad_chr_4q	39	0.076	AMP_maj-broad_chr_4q	33	0.064	AMP_minor-broad_chr_4q	6	0.011999999999999997
AMP_all-broad_chr_5p	210	0.409	AMP_maj-broad_chr_5p	199	0.388	AMP_minor-broad_chr_5p	11	0.020999999999999963
AMP_all-broad_chr_5q	199	0.388	AMP_maj-broad_chr_5q	191	0.372	AMP_minor-broad_chr_5q	8	0.016000000000000014
AMP_all-broad_chr_6p	78	0.152	AMP_maj-broad_chr_6p	65	0.127	AMP_minor-broad_chr_6p	13	0.024999999999999994
AMP_all-broad_chr_6q	39	0.076	AMP_maj-broad_chr_6q	26	0.051	AMP_minor-broad_chr_6q	13	0.025
AMP_all-broad_chr_7p	154	0.3	AMP_maj-broad_chr_7p	146	0.285	AMP_minor-broad_chr_7p	8	0.015000000000000013
AMP_all-broad_chr_7q	164	0.32	AMP_maj-broad_chr_7q	150	0.292	AMP_minor-broad_chr_7q	14	0.028000000000000025
AMP_all-broad_chr_8p	14	0.027	AMP_maj-broad_chr_8p	8	0.016	AMP_minor-broad_chr_8p	6	0.011
AMP_all-broad_chr_8q	31	0.06	AMP_maj-broad_chr_8q	22	0.043	AMP_minor-broad_chr_8q	9	0.017
AMP_all-broad_chr_9p	251	0.489	AMP_maj-broad_chr_9p	228	0.444	AMP_minor-broad_chr_9p	23	0.044999999999999984
AMP_all-broad_chr_9q	269	0.524	AMP_maj-broad_chr_9q	235	0.458	AMP_minor-broad_chr_9q	34	0.066
AMP_all-broad_chr_10p	10	0.019	AMP_maj-broad_chr_10p	4	0.008	AMP_minor-broad_chr_10p	6	0.011
AMP_all-broad_chr_10q	12	0.023	AMP_maj-broad_chr_10q	7	0.014	AMP_minor-broad_chr_10q	5	0.009
AMP_all-broad_chr_11p	192	0.374	AMP_maj-broad_chr_11p	179	0.349	AMP_minor-broad_chr_11p	13	0.025000000000000022
AMP_all-broad_chr_11q	226	0.441	AMP_maj-broad_chr_11q	213	0.415	AMP_minor-broad_chr_11q	13	0.026000000000000023
AMP_all-broad_chr_12p	5	0.01	AMP_maj-broad_chr_12p	3	0.006	AMP_minor-broad_chr_12p	2	0.004
