term	estimate	std.error	statistic	p.value	conf.low	conf.high
OLD	1.57735516621249	0.3524464909696668	1.293102671380615	0.19597555134294598	0.7905448167281005	3.147259039246816
SEXM	1.153863337514991	0.14317075776555568	0.9996156916143962	0.3174965263572864	0.8715397597871277	1.5276418392964957
ISS1	1.0089193862385528	0.16606480262972165	0.0534721586395019	0.9573557130905871	0.7286212795286197	1.3970472130412095
ISS3	1.444442355906659	0.17255368843183957	2.131066206439	0.03308368825921606	1.0299644833757409	2.0257142389016107
HB_m_105	1.2933234335899284	0.16116599142175017	1.595964559445434	0.11049670617134758	0.9430232623300735	1.7737478710120886
PLT_m_150	1.5673702677494934	0.17753104939073505	2.5313838218493823	0.011361344811478791	1.1067687825149084	2.219659241420669
MMrisk_allclass1q&13+	1.4894583581115106	0.18838554419063144	2.114878493115893	0.03444030465607341	1.0296136697824072	2.1546782697796543
MMrisk_allclassdel 13q only	0.9271219326174414	0.18390381176753887	-0.4114661174897691	0.6807307810874751	0.6465433464765742	1.3294624136565036
MMrisk_allclassgain 1q only 	1.3809308202246042	0.233153961146587	1.3843117981488713	0.16626300298792646	0.8744015342410832	2.1808858465708303
FISH_Del_17p	2.067594135372639	0.19407419724288635	3.7428245908687217	1.8196325457115628e-4	1.4134128502595416	3.0245554282616953
FISH_Del_1p36	1.0133580345082716	0.20728634398003473	0.06401580710827427	0.9489576403715658	0.6750259353713021	1.5212667429402067
HyperDiploidy	0.8506484552136195	0.1670970865446264	-0.9680380143520315	0.33302538483650085	0.6130795355551196	1.180275563597345
IgH_translocation_typet(11_14)	1.1326112474401762	0.21237710993911038	0.5863428752825022	0.5576451240555718	0.7469734166208636	1.7173412189567903
IgH_translocation_typet(14_16)	1.2127544715926737	0.32178227417930605	0.5994556281249708	0.5488690909412545	0.6454629466061036	2.2786333686565134
IgH_translocation_typet(14_20)	5.246383767943828	0.42433354845564203	3.9062172651544405	9.375222332224323e-5	2.2838453075497736	12.051841930605283
IgH_translocation_typet(4_14)	1.597312572061485	0.19026705784437933	2.4613959973369686	0.01383975166240859	1.1001054004268187	2.3192390946138266
IgH_translocation_typet(6_14)	0.9197899908528407	0.7325259249487276	-0.11413917645956391	0.9091274668142698	0.21885752395048247	3.8655907825425424
