genes.hgnc_symbol	genes.ensembl_gene_id	genes.length	logFC	AveExpr	t	P.Value	adj.P.Val
CCND2	ENSG00000118971	35582	6.57516408964425	3.036993979449435	12.564654563013686	6.44037915291738e-33	1.2830523348442003e-28
	ENSG00000242444	8471	3.552975224776686	-5.47192632452771	9.91782898964301	5.249503780378375e-22	5.229030715634899e-18
SCARNA9	ENSG00000254911	352	-2.3810923783121978	0.08771200584473354	-9.21616900583465	2.029452744322455e-19	1.3476919190797317e-15
CCND1	ENSG00000110092	13318	-4.932459770966783	5.3333662441719145	-8.999209896251363	1.1986136944758655e-18	5.969695505337048e-15
CD109	ENSG00000156535	132531	3.090739082079688	-0.6741976862416736	8.84374176970723	4.1956271188691775e-18	1.671705669242235e-14
PKP2	ENSG00000057294	106022	3.8277750567936106	0.7181831292213722	8.413525320088196	1.2313783662472755e-16	4.0885866353963706e-13
NES	ENSG00000132688	8644	4.339836839101444	2.136330599121385	7.799802690117104	1.2139923058098243e-14	3.45502210233476e-11
JUP	ENSG00000173801	32327	2.693205294527043	1.4749212689302154	7.417470586880099	1.8409205976070235e-13	4.368158001488613e-10
MUC3A	ENSG00000169894	18813	3.5227512212109544	-4.724549019182952	7.394155617610259	2.1651427745932746e-13	4.368158001488613e-10
MUC1	ENSG00000185499	7092	2.7016018144035425	0.28466841592023895	7.392339956070823	2.192630258753445e-13	4.368158001488613e-10
ANKRD33B	ENSG00000164236	93746	3.176662234220882	-3.621816243153172	7.25110631807777	5.804732188254922e-13	1.0512897695855869e-9
MARK1	ENSG00000116141	136325	3.4795276355164075	-2.731541276087385	7.199181458391824	8.270944997023706e-13	1.373114718589219e-9
TRIM31	ENSG00000204616	10193	2.512165102110015	-3.768917500765594	7.157354075453241	1.0984145426644587e-12	1.6832780399201036e-9
PLAAT2	ENSG00000133328	10609	2.798020511992486	-0.372079827982123	7.117784470480532	1.4347765639707771e-12	2.041687050530416e-9
EPSTI1	ENSG00000133106	105883	-1.919633294370839	3.6318338306660793	-7.016722668463783	2.8228984271873486e-12	3.749185497761757e-9
STEAP1	ENSG00000164647	10373	2.76644841413223	-2.53250150809538	6.95298032338436	4.308143312962683e-12	5.364176942552661e-9
S100A2	ENSG00000196754	6782	2.4828351774843913	-4.79890361010799	6.924816207865906	5.187635120740397e-12	6.079298051493542e-9
SCN9A	ENSG00000169432	180816	2.574045609906228	2.5098436207197987	6.858843703110765	7.99639366026966e-12	8.850230805549565e-9
SLC46A3	ENSG00000139508	18906	-2.1684949620636935	3.0691061740837102	-6.840947809572337	8.986989561655647e-12	9.223558098059745e-9
LINC01781	ENSG00000234184	111046	-3.216474713540913	3.8398910834446127	-6.836361290314854	9.259670814235262e-12	9.223558098059745e-9
NTRK1	ENSG00000198400	66210	2.4582908720859056	-2.356062675923011	6.790718933654126	1.2456164394340594e-11	1.181674795543111e-8
	ENSG00000251196	3714	2.9423993528989705	-3.7478157344963585	6.781578609367212	1.3215678503537776e-11	1.1967397597612707e-8
MAB21L1	ENSG00000180660	2900	-2.824384041620193	-1.269202012498332	-6.693198025695818	2.334290175077856e-11	2.0219012551261325e-8
KCNMB2	ENSG00000197584	571497	-3.3399882033425574	-0.14919353886998682	-6.63412085989608	3.402496701642287e-11	2.824355803754902e-8
LINC00426	ENSG00000238121	36878	-2.3645454126310277	-0.0048631018902320884	-6.577994508598022	4.854507626596413e-11	3.868460037482149e-8
C1orf21-DT	ENSG00000271387	951	2.4970826194063243	-3.5298039693894627	6.561876662645048	5.3736180268241365e-11	4.1174314742457865e-8
NETO2	ENSG00000171208	66242	2.278830768035024	1.7848509316436718	6.508390138341405	7.516818051915123e-11	5.5462981196390024e-8
NOL4	ENSG00000101746	373852	-3.4960187701759606	-0.04389158004020765	-6.415230825081485	1.341325602734436e-10	9.543531663455512e-8
IGSF9	ENSG00000085552	18574	2.2923355866550383	-2.3191323614847565	6.387352293002245	1.5929632160622242e-10	1.0943107996686769e-7
GAL3ST3	ENSG00000175229	8396	2.610238997205577	-5.481328719077779	6.338579885873134	2.148737746655046e-10	1.426905112962061e-7
KRT14	ENSG00000186847	4616	2.8672572803761027	-4.00045953350712	6.258606328473464	3.4953975730920083e-10	2.2463003371335157e-7
LMOD1	ENSG00000163431	50132	1.9017239931291507	-2.853083762106331	6.235692937362594	4.014428385291886e-10	2.49923257161828e-7
TFAP2C	ENSG00000087510	9977	3.409873303673681	-3.9448279306837977	6.228682896412556	4.187758757531698e-10	2.5281372717438335e-7
SDK1	ENSG00000146555	967748	2.9667103244877184	-4.0766129949954895	6.1639821760221105	6.174439683413188e-10	3.61785845214581e-7
PSMD8P1	ENSG00000228264	768	2.008181037172095	-4.201551707559615	6.14086865639563	7.087172066626752e-10	4.0340183403239473e-7
ATRNL1	ENSG00000107518	855634	2.943023644509916	-3.6132751108367427	6.089622534622551	9.606106680604498e-10	5.315912702527856e-7
NXF5	ENSG00000126952	25465	2.080292930952192	-2.8178870308039565	5.987413456610265	1.7505181724019768e-9	9.425357575835724e-7
WSCD1	ENSG00000179314	66620	3.4504208232104334	-0.821841404488047	5.977473190330762	1.8548698029964454e-9	9.724399004025049e-7
	ENSG00000250850	5343	-2.6736715621931504	-4.920630650858628	-5.96564943069	1.9869134083529922e-9	1.0149561261848284e-6
SYCP2L	ENSG00000153157	92489	-2.0489382338250905	-2.8274238864896257	-5.947619694319844	2.206091305665397e-9	1.098743774786651e-6
ANO9	ENSG00000185101	24078	-2.4222171683709326	3.3950449778945244	-5.9408558341276265	2.2942561646360352e-9	1.1147846661433925e-6
USH2A	ENSG00000042781	800557	-2.879686039697016	0.30811820483676317	-5.93638366955781	2.3544269104605243e-9	1.116783164528442e-6
SYT3	ENSG00000213023	18574	2.8299843653154277	-5.613373686531938	5.8905935489068035	3.0661312535365685e-9	1.420545740301291e-6
APOL3	ENSG00000128284	25847	-2.279973558185117	3.3088850470559588	-5.8468100911355005	3.94061029550716e-9	1.7842008706157643e-6
TRERNA1	ENSG00000231265	788	-2.3078463301976595	-4.026027165547353	-5.752206197583975	6.739999724673129e-9	2.983872766998624e-6
LINC00996	ENSG00000242258	14487	-2.1879332121571538	2.216030006490515	-5.717593632674491	8.187154314412982e-9	3.509254175896346e-6
SH2D2A	ENSG00000027869	10605	2.1229360303298033	-1.8749589707555063	5.709397734223757	8.571793609898612e-9	3.509254175896346e-6
GNG11	ENSG00000127920	6875	-3.1136971441533694	-0.12475428876100761	-5.708422909845284	8.61869686480665e-9	3.509254175896346e-6
S100A4	ENSG00000196154	6523	2.377135125791489	3.624039879556885	5.708161126687757	8.631334937201132e-9	3.509254175896346e-6
PDLIM2	ENSG00000120913	19746	-1.9481414470956775	1.2928614817139186	-5.703800681470731	8.844515204710694e-9	3.519255355604418e-6
KIF19	ENSG00000196169	29610	-2.295707211566274	3.5098131607898795	-5.700500912357879	9.009237181800287e-9	3.519255355604418e-6
CEP250-AS1	ENSG00000230155	14782	-2.2201263380565575	-0.5562914286599159	-5.693540511669816	9.366545306205541e-9	3.588467607504362e-6
RPRM	ENSG00000177519	1424	2.7537861350128283	-1.5417056276023775	5.682289132418131	9.973484918593326e-9	3.7489012556267216e-6
	ENSG00000229196	911	-2.540936081728437	-3.7999182126167566	-5.6581326031828985	1.1408652888003972e-8	4.2089478302743545e-6
RND3	ENSG00000115963	70816	2.709170847383908	2.389100288174694	5.620362710116552	1.4063726275072945e-8	5.0941373609455125e-6
KCNA5	ENSG00000130037	2909	-3.53619716931132	-2.064287809228875	-5.6067998553675675	1.5156636997593984e-8	5.39197361189406e-6
SPRR2A	ENSG00000241794	1392	2.3367124546284863	-6.267421541526506	5.589260307901401	1.6693050853337998e-8	5.8343677035122735e-6
ABLIM2	ENSG00000163995	193522	2.042177877893913	-3.1734930208769825	5.559412251719655	1.9662431483170227e-8	6.7537062070296084e-6
IGF1R	ENSG00000140443	315991	2.2161753295278634	2.2982344068408933	5.524566217786499	2.3781142238510984e-8	8.029964672468065e-6
PTPRR	ENSG00000153233	282665	2.3272966721800565	-4.154467706809889	5.502518328442976	2.6807936139239253e-8	8.90112839609874e-6
	ENSG00000271959	3409	2.585105696257031	-3.1202956218984506	5.492498480727672	2.830416441439616e-8	9.243861696124597e-6
	ENSG00000232124	6797	-2.014183573558597	-2.8755178079835346	-5.471234816538621	3.1752918996600735e-8	1.0202929875004514e-5
INSRR	ENSG00000027644	19054	2.080682730835544	-5.328154942100413	5.453178446805466	3.4998962168200443e-8	1.1045106269354682e-5
	ENSG00000249738	494791	2.2193637906942536	-5.631810314910115	5.450627745431126	3.54827226803885e-8	1.1045106269354682e-5
PAX5	ENSG00000196092	200999	-2.992253838624605	1.7383175920971734	-5.445324479601867	3.650939635976527e-8	1.1189849142757594e-5
STAP1	ENSG00000035720	48610	-1.887375074505568	4.403193529256629	-5.344810951214176	6.240746926224645e-8	1.8837600040037483e-5
SPATA17	ENSG00000162814	240372	2.136637912220245	-4.472340787606895	5.327513684427646	6.838004122356426e-8	2.033234598889324e-5
RHBG	ENSG00000132677	16008	2.140647835287786	-5.609587938275787	5.3141520911422715	7.33694509932959e-8	2.1495091216006485e-5
INAVA	ENSG00000163362	24694	2.411088651302532	1.1780326778358476	5.2893861608968	8.356656729732557e-8	2.4127726865178552e-5
MT1F	ENSG00000198417	2967	-2.4283504832356546	-2.1243304115623713	-5.268446464346007	9.324842070673154e-8	2.6538500533135798e-5
RPL36AP40	ENSG00000240298	320	-2.626002033209029	-3.9903477513280103	-5.213700878498756	1.239784724434526e-7	3.478731166223187e-5
SIX4	ENSG00000100625	14812	-2.539571510675149	-0.11019311712087293	-5.182838637010081	1.454100853709325e-7	4.023416278832941e-5
CHSY3	ENSG00000198108	282169	-2.3173355588269917	2.7667375305913344	-5.153755384119864	1.688604600310895e-7	4.600912845273403e-5
STARD13	ENSG00000133121	247493	-1.7324272270282135	1.7252321952572873	-5.149461291143263	1.7261903884863153e-7	4.600912845273403e-5
	ENSG00000244998	2635	2.2092224391805875	-4.755129783724514	5.148794655203323	1.732097497216671e-7	4.600912845273403e-5
TBX21	ENSG00000073861	12886	-2.5181941925025946	-0.7354559091313709	-5.131161565057754	1.895640526317717e-7	4.969072442802837e-5
CALHM3	ENSG00000183128	6436	2.2288989113896216	-4.2601956152003595	5.048894073260226	2.8776675792558035e-7	7.445310845965471e-5
	ENSG00000259514	2454	-2.51044482481718	-2.488360408611475	-5.043148484738023	2.9621531346010923e-7	7.509435254030765e-5
TCEA3	ENSG00000204219	43839	2.6382505442741024	-1.0820819237761787	5.042099092635423	2.977840503305042e-7	7.509435254030765e-5
IL6R	ENSG00000160712	64257	1.758407408187609	6.546244145623622	5.036593209438283	3.061472295718587e-7	7.623831384413212e-5
MTMR11	ENSG00000014914	8228	1.7285923543460717	-0.2529659639217092	5.019502339514284	3.33578003766239e-7	8.204371593865448e-5
	ENSG00000267469	814	-3.1984032303732275	-1.851763967477428	-4.97217428160356	4.22502065327394e-7	1.026473920177115e-4
KIF21B	ENSG00000116852	54324	1.97781813821689	4.213096743511829	4.9644870245739945	4.389548016684981e-7	1.0535972962457614e-4
DEPP1	ENSG00000165507	7828	2.0747246240131068	3.6209392830738465	4.905746552945099	5.867684911026753e-7	1.3916192713985114e-4
CD19	ENSG00000177455	7377	-2.6410730009688157	-0.16026222023603826	-4.902534542616868	5.961039378782463e-7	1.3971273706365204e-4
SLC34A2	ENSG00000157765	30737	-1.8908545273782145	-3.5300412636028273	-4.895445199507987	6.172181564712498e-7	1.4297930364209582e-4
