	AveExpr	Coef.r1v3	Coef.r1v2	Coef.r2vr3	t.r1v3	t.r1v2	t.r2vr3	P.value.r1v3	P.value.r1v2	P.value.r2vr3	Results.r1v3	Results.r1v2	Results.r2vr3	Genes.genes.hgnc_symbol	Genes.genes.ensembl_gene_id	Genes.genes.length
1	-0.169804434894945	0.658702579513599	0.352159817478766	0.306542762034833	0	0	0	0.818836217057436	0.952706752059617	0.979335893643386	0	0	0	TSPAN6	ENSG00000000003	12883
3	4.50729427689505	0.0143171605624897	0.0116402576808152	0.00267690288167444	0	0	0	1	1	1	0	0	0	DPM1	ENSG00000000419	24273
4	3.58981902753584	0.669473390425418	0.326559687505383	0.342913702920035	0	0	0	0.999999756054969	1	1	0	0	0	SCYL3	ENSG00000000457	44636
5	1.60222233117545	1.13726024662481	0.538016875157803	0.599243371467003	1.19927641408483	0	0	0.115567030247109	0.999962976900423	0.999897799975621	0	0	0	C1orf112	ENSG00000000460	192073
6	0.323676978351417	0.229403064840078	-0.0605552054054985	0.289958270245577	0	0	0	0.993449985826011	0.998774882261544	0.995602458102354	0	0	0	FGR	ENSG00000000938	23121
7	-0.669440053759228	0.20609578523195	0.350967548120043	-0.144871762888093	0	0	0	0.993415288317429	0.972416464660856	0.998470199821966	0	0	0	CFH	ENSG00000000971	95461
8	5.29023442326212	0.0396227874973691	-0.0824632335802145	0.122086021077584	0	0	0	0.999999999999994	0.999999999999177	1	0	0	0	FUCA2	ENSG00000001036	16908
9	4.11886232449098	0.0259146132358499	-0.0658232911280345	0.0917379043638844	0	0	0	1	1	1	0	0	0	GCLC	ENSG00000001084	119629
10	4.88869661819685	0.364825120491687	0.151643232867773	0.213181887623914	0	0	0	1	1	1	0	0	0	NFYA	ENSG00000001167	29429
11	1.03632615924776	-0.1628768860101	0.0172648335307746	-0.180141719540875	0	0	0	0.99999999999586	0.999999999999983	0.999999999999992	0	0	0	STPG1	ENSG00000001460	59935
12	4.62251879440978	-0.237833938493546	-0.140842501228849	-0.0969914372646974	0	0	0	0.999999999999994	1	1	0	0	0	NIPAL3	ENSG00000001461	57174
13	4.89173633098742	0.0357939758578656	0.0441243682131391	-0.00833039235527355	0	0	0	1	1	1	0	0	0	LAS1L	ENSG00000001497	96261
14	4.14547156886543	1.0127555632072	0.348052817776726	0.664702745430473	0.0829602508921564	0	0	0.466962429183088	0.999981936188566	0.992447105447182	0	0	0	ENPP4	ENSG00000001561	16699
15	-3.57503145918498	-0.0469725024434164	0.217822271835411	-0.264794774278827	0	0	0	0.999900846270306	0.997761395807271	0.999344811267681	0	0	0	SEMA3F	ENSG00000001617	34030
17	5.8753458404856	0.132448813053257	0.061238928554368	0.0712098844988889	0	0	0	1	1	1	0	0	0	ANKIB1	ENSG00000001629	155409
18	5.87771303284034	0.300460990813301	0.173263645503564	0.127197345309737	0	0	0	1	1	1	0	0	0	CYP51A1	ENSG00000001630	49816
19	4.86827143884573	-0.051525552778001	-0.127302316197782	0.075776763419781	0	0	0	1	1	1	0	0	0	KRIT1	ENSG00000001631	48668
20	2.20115002228739	0.0300794227999841	0.00763651288527845	0.0224429099147057	0	0	0	1	1	1	0	0	0	RAD52	ENSG00000002016	78317
21	-6.28562877178169	0.9814370285022	0.584249345796637	0.397187682705563	0	0	0	0.533236269097732	0.963056347200389	0.998655064820711	0	0	0	MYH16	ENSG00000002079	72301
22	4.1850609368702	-0.30682174020327	-0.165176625187725	-0.141645115015544	0	0	0	1	1	1	0	0	0	BAD	ENSG00000002330	14874
23	6.50221432181308	-0.144624645258233	-0.0892955615583455	-0.0553290836998874	0	0	0	1	1	1	0	0	0	LAP3	ENSG00000002549	30774
24	0.500852346923492	-0.402390765260238	-0.272909457433387	-0.129481307826851	0	0	0	0.984976870104897	0.993925286552058	0.999902080119855	0	0	0	CD99	ENSG00000002586	50122
25	-2.89794320658173	0.173115422600288	0.0841562111337963	0.0889592114664919	0	0	0	0.999079725403121	0.999558116481324	0.999956816962524	0	0	0	HS3ST1	ENSG00000002587	36414
26	-3.71020366325706	0.240147225589495	-0.189172290665749	0.429319516255244	0	0	0	0.974542185226769	0.97887591712089	0.95438012455258	0	0	0	AOC1	ENSG00000002726	36877
27	0.178033941194095	-0.324827670009608	-0.215907120076999	-0.108920549932609	0	0	0	0.999823862178993	0.999961003207079	0.999999982303192	0	0	0	WNT16	ENSG00000002745	15737
28	-5.33388887579632	0.132682928485093	-0.200273633088774	0.332956561573868	0	0	0	0.998282614189639	0.995211129882552	0.995403726379169	0	0	0	HECW1	ENSG00000002746	453372
29	3.13018509523391	0.010980989707023	-0.0584210955632449	0.0694020852702679	0	0	0	1	1	1	0	0	0	MAD1L1	ENSG00000002822	417450
30	5.9751225052152	-0.042266659395076	-0.00772983850167819	-0.0345368208933978	0	0	0	1	1	1	0	0	0	LASP1	ENSG00000002834	51911
