surv	term	estimate	std.error	statistic	p.value	conf.low	conf.high	N	variable
OS	OLD	2.352940323624786	0.15863565766915583	5.3939055075671	6.894248355674398e-8	1.724169649362693	3.211011264805591	840	OLD
PFS	OLD	1.6747122583691625	0.10324447103554842	4.994372670032018	5.902731980789632e-7	1.367912588193278	2.0503219083876565	840	OLD
OS	OLD	2.352940323624786	0.15863565766915583	5.3939055075671	6.894248355674398e-8	1.724169649362693	3.211011264805591	1	OLD
PFS	OLD	1.6747122583691625	0.10324447103554842	4.994372670032018	5.902731980789632e-7	1.367912588193278	2.0503219083876565	1	OLD
OS	SEXM	1.754230057934067	0.16985790396998898	3.308824812334649	9.368844012135037e-4	1.257486230405945	2.447202221185301	1	SEX
PFS	SEXM	1.3462544139603778	0.10862247818103289	2.7372440140369156	0.006195631788646867	1.0880967651593993	1.665661552483611	1	SEX
OS	B2M_m_median	3.4336098987741264	0.18067783943569216	6.827689329345452	8.629320417735024e-12	2.409670697839354	4.892650662819179	1	B2M_m_median
PFS	B2M_m_median	2.1806820483030362	0.109725618591204	7.105338790271607	1.2002773581336148e-12	1.7587079734051518	2.703902107513579	1	B2M_m_median
OS	ALBUMIN_m_median	0.5111540640180856	0.16027202352413633	-4.187157710496323	2.82469554858312e-5	0.37336020326768515	0.6998026969009289	1	ALBUMIN_m_median
PFS	ALBUMIN_m_median	0.7072757592126967	0.1043433590610745	-3.319182465747122	9.028141639650093e-4	0.5764631430396963	0.8677727372683898	1	ALBUMIN_m_median
OS	HB_m_105	1.9529732157597277	0.1585894816375893	4.220664135351491	2.435836257679184e-5	1.431214329021193	2.664942841987445	1	HB_m_105
PFS	HB_m_105	1.7728778965438599	0.10462788882154453	5.472767948320287	4.430601166562816e-8	1.444173611153403	2.176397637915235	1	HB_m_105
OS	PLT_m_150	2.869160743775721	0.16159954309356311	6.522416728774896	6.918347414343865e-11	2.0902638015614197	3.93829877715641	1	PLT_m_150
PFS	PLT_m_150	1.9647404592009412	0.12141245209132774	5.562527921419922	2.658944714918494e-8	1.5486694166555017	2.492594630271452	1	PLT_m_150
OS	PC_M_60	2.301011352361119	0.7638790412391724	1.090943329657667	0.2752978195260395	0.5148772971494378	10.283330170135713	1	PC_M_60
PFS	PC_M_60	1.753842988316977	0.559044612611619	1.0049455104588307	0.31492308847894634	0.5863150928064219	5.246266496305574	1	PC_M_60
OS	D_LAB_chem_ldh	1.138029219440315	0.03498232627638833	3.696095293571951	2.1894082184968904e-4	1.0626161270713492	1.218794324032476	1	D_LAB_chem_ldh
PFS	D_LAB_chem_ldh	1.09577951116042	0.026996957538218076	3.3880111197427794	7.040141007346238e-4	1.0393057351428217	1.1553219581858312	1	D_LAB_chem_ldh
OS	R_ISS2	3.8365766666000485	0.3189792820343529	4.215259584682504	2.494910484613002e-5	2.0531856679023153	7.169015812261282	1	R_ISS
OS	R_ISS3	7.552224721921653	0.36236269805598026	5.579609037734124	2.410597940244815e-8	3.7121987181683713	15.364505669175667	1	R_ISS
PFS	R_ISS2	2.029013007051311	0.1560791653700056	4.533273033067227	5.807666568026943e-6	1.4942731906575106	2.7551145322843458	1	R_ISS
PFS	R_ISS3	3.3351833095394974	0.21170194840776863	5.689733383634763	1.2723787873298887e-8	2.202514030127881	5.05034136267681	1	R_ISS
OS	D_IM_LIGHT_CHAIN_BY_FLOW2bi-clonal	6.312399558959815e-7	2020.014284684762	-0.007067068721329933	0.9943613419128399	0	Inf	1	D_IM_LIGHT_CHAIN_BY_FLOW2
OS	D_IM_LIGHT_CHAIN_BY_FLOW2kappa	0.6755731202540545	0.21424737997393892	-1.830565589029778	0.06716540864124874	0.44391994811171376	1.0281111329895567	1	D_IM_LIGHT_CHAIN_BY_FLOW2
OS	D_IM_LIGHT_CHAIN_BY_FLOW2lambda	0.8414044982496484	0.22541393800684364	-0.7660695838866334	0.4436348998606986	0.5409188768235567	1.3088127628899033	1	D_IM_LIGHT_CHAIN_BY_FLOW2
