sample	chr_1p	chr_1q	chr_2p	chr_2q	chr_3p	chr_3q	chr_4p	chr_4q	chr_5p	chr_5q	chr_6p	chr_6q	chr_7p	chr_7q	chr_8p	chr_8q	chr_9p	chr_9q	chr_10p	chr_10q	chr_11p	chr_11q	chr_12p	chr_12q	chr_13q	chr_14q	chr_15q	chr_16p	chr_16q	chr_17p	chr_17q	chr_18p	chr_18q	chr_19p	chr_19q	chr_20p	chr_20q	chr_21q	chr_22q
MMRF_1016_1_BM	0	0	0	0	0.954983922829582	0.954983922829582	0	0	0.9528403001071811	0.9528403001071811	0.7781350482315111	0.7781350482315111	0	0	0	0	0.7234726688102894	0.7234726688102894	0	0	0	0	0	0	-0.34619506966773844	0	0.8971061093247588	0	0	0.6366559485530546	0.6366559485530546	0	0	0.8413719185423365	0.8413719185423365	0	-0.15326902465166128	0	-0.13183279742765272
MMRF_1021_1_BM	0.4683815648445873	0.9410503751339764	0	0	0	0	0	0	0	0	0.11789924973204716	0.11789924973204716	0	0	0	0	0	0	0	0	0	0	0	0	-1.005359056806002	-0.6162915326902464	0	0	0	0	0	0	0	0.9035369774919614	0.9035369774919614	0	0	0	0
MMRF_1029_1_BM	0	0	0	0	0.8177920685959271	0.8177920685959271	0	0	0	0	0.32047159699892813	0.32047159699892813	0	0	0	0	-0.3783494105037513	0.6580921757770631	0	0	0.9710610932475884	0.9710610932475884	0	0	-0.9035369774919614	0	0	-0.10718113612004287	-1.0685959271168273	0	0	0.307609860664523	0.307609860664523	1.1789924973204717	1.1789924973204717	0	0	0.2679528403001072	-0.13290460878885316
MMRF_1030_1_BM	0	0	0	0	0	0	0	0	1.045016077170418	1.045016077170418	0	0	0	0	0	0	1.0042872454448017	1.0042872454448017	0	0	1.0342979635584135	1.0342979635584135	0	0	0	0	1.0075026795284028	-0.37406216505894957	-0.5016077170418006	0	0	0	0	0.9281886387995713	0.9281886387995713	0	0	1.0235798499464093	0
MMRF_1031_1_BM	0.8821007502679528	0.8821007502679528	0	0	0.8542336548767417	0.8542336548767417	-0.13183279742765272	-0.13183279742765272	0.827438370846731	0.827438370846731	0.7824222936763129	0	0.8285101822079314	0.8285101822079314	-0.9314040728831725	0	1.7781350482315113	1.7781350482315113	-0.127545551982851	-0.127545551982851	0.8842443729903536	0.8842443729903536	0.8370846730975349	0	-0.9453376205787781	0	0.9517684887459806	0	0	0	0	0.8413719185423365	0.8413719185423365	1.8531618435155413	0.8863879957127545	0	0	-0.11789924973204716	0
MMRF_1032_1_BM	0	0	0	0	0	0	0.9506966773847803	0.9506966773847803	1.0032154340836013	1.0032154340836013	0	0	0	0	0	0	1.0310825294748123	1.0310825294748123	0	0	0	0.9496248660235798	0	0	0	0	1.0139335476956055	0	0	0	0	0	0	2.0214362272240085	2.0214362272240085	0	0	0	0
MMRF_1033_1_BM	0	0	0	0	0	0	0	0	1.0107181136120043	1.0107181136120043	0	0	0	0	0	0	1	1	0	0	0.8971061093247588	0.8971061093247588	0	0	0	0	0.8896034297963558	-0.165058949624866	-0.165058949624866	-0.14790996784565916	-0.14790996784565916	0	0	0.5809217577706324	0.5809217577706324	0	0	0.9163987138263665	-0.2465166130760986
MMRF_1037_1_BM	-0.15112540192926044	0	1.045016077170418	1.045016077170418	0.8317256162915326	0.8317256162915326	0	0.6634512325830654	1.057877813504823	1.057877813504823	0	0	0	0	0	0	0.969989281886388	0.969989281886388	0	0	1.1254019292604502	1.7159699892818863	0	0	0	0	1.690246516613076	-0.1414790996784566	-0.1414790996784566	-0.15005359056806003	-0.15005359056806003	0	0	1.6591639871382635	1.6591639871382635	0	0	0	-0.23794212218649516
MMRF_1045_1_BM	0	1.0385852090032153	0	0	1.0707395498392283	1.0707395498392283	1.0900321543408358	1.0900321543408358	0	0	0	0	0	0	0	0	0	0	0	0	1.0546623794212218	1.0546623794212218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1048_1_BM	0	0	0	0	0	0	0	0	0	0	0	-1.0471596998928188	0	0	0	0	0	0	0	0	0	0	-1.0493033226152197	0	-1.0621650589496248	0	0	0	0	0	0	0	0	0.9110396570203644	0	0	0	0	0
MMRF_1049_1_BM	0	0	1.012861736334405	1.012861736334405	1.0107181136120043	1.0107181136120043	0	0	2.0589496248660235	2.0589496248660235	1.027867095391211	1.027867095391211	0.9496248660235798	0.9496248660235798	0	0	0.9807073954983923	0.9807073954983923	0	0	0.9860664523043944	0.9860664523043944	0	0	0	0	3.0589496248660235	-1.0568060021436227	-1.0568060021436227	0	0	0	0	1.847802786709539	1.847802786709539	0	0	2.967845659163987	-0.12540192926045016
MMRF_1054_1_BM	0.16291532690246516	0.16291532690246516	0	0	0	0	0.12647374062165057	0.12647374062165057	0.11789924973204716	0.11789924973204716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112540192926045	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1055_1_BM	0	0.8745980707395498	0	0	0.9667738478027866	0.9667738478027866	0	0	0.9785637727759914	0.9785637727759914	0	0	0	0	0	0	0.9667738478027866	0.9667738478027866	0	0	0.962486602357985	0.962486602357985	0	0	0	0	1.9067524115755625	0	0	0	0	-0.7845659163987138	0	1.0214362272240085	1.0214362272240085	0	0	0	0
MMRF_1068_1_BM	0	0	0	0	0.7684887459807073	1.0235798499464093	0	0	0.9581993569131833	0.9581993569131833	0.1982851018220793	0.1982851018220793	1.095391211146838	1.095391211146838	-0.315112540192926	-0.15219721329046085	1.0096463022508038	1.0096463022508038	-0.21114683815648447	-0.21114683815648447	1.0075026795284028	1.0075026795284028	-0.16720257234726688	-0.16720257234726688	-0.19721329046087888	-0.18971061093247588	1.189710610932476	-0.15434083601286172	-0.15434083601286172	0.25937834941050375	0.25937834941050375	0	0	0.5133976420150053	0.5133976420150053	0.11468381564844586	0.11468381564844586	0	0
MMRF_1073_1_BM	0	0	0	0	0.922829581993569	0.922829581993569	0	0.22936763129689172	0.9239013933547695	0.9239013933547695	0	0	0.9067524115755626	0.9067524115755626	0	0	1.8360128617363345	1.8360128617363345	0	0	0.9142550911039656	0.9142550911039656	0	0	0	0	2.937834941050375	-0.11682743837084672	-0.11682743837084672	-0.14040728831725616	-0.14040728831725616	-1.117899249732047	-1.117899249732047	0.8242229367631296	0.8242229367631296	-0.10718113612004287	-0.10718113612004287	1.189710610932476	-0.13183279742765272
MMRF_1077_1_BM	-0.1232583065380493	0	0	0	1.0610932475884243	1.0610932475884243	0	0	1.0557341907824223	1.0557341907824223	0	0	0.9603429796355841	0.9603429796355841	-0.9399785637727759	0	0.984994640943194	0.984994640943194	0	0.1639871382636656	1.0385852090032153	1.0385852090032153	-1.005359056806002	0	-0.4158628081457663	0	1.030010718113612	0	0	-0.5144694533762058	0	0	0	0.8413719185423365	0.8413719185423365	0	0	0	0
MMRF_1078_1_BM	0	0.7363344051446945	0	0	0.9292604501607716	0.9292604501607716	0	0	0	0	0	0	0.9024651661307609	0.9024651661307609	0	0	0.4555198285101822	0.4555198285101822	0	0	0.4555198285101822	0.4555198285101822	0	0	-1.0396570203644158	0	0	-0.15969989281886388	-0.15969989281886388	0	0	0	0	0.9271168274383708	0.9271168274383708	0	0	0	-0.5037513397642014
MMRF_1079_1_BM	0	1.2733118971061093	0	0	0.5198285101822079	0.5198285101822079	0	0	0.8863879957127545	0.8863879957127545	1.0267952840300105	-0.01822079314040729	1.3183279742765273	1.3183279742765273	0	0	0.9635584137191854	0.9635584137191854	0	0	1.5712754555198285	1.5712754555198285	0	0	-0.7759914255091104	-0.270096463022508	0.9753483386923901	-0.12968917470525188	-1.0621650589496248	-0.11789924973204716	-0.11789924973204716	1.1103965702036442	1.1103965702036442	0.7834941050375134	0.7834941050375134	0	0	0.9185423365487674	-0.16184351554126472
MMRF_1082_1_BM	-1.0192926045016075	1.0696677384780278	0	0	0	1.0621650589496248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.9871382636655949	0	0	0	0	0	0	0	0	0	0
MMRF_1086_1_BM	0	0	0.9710610932475884	0.9710610932475884	0.9721329046087889	0.9721329046087889	0.9721329046087889	0.9721329046087889	0.9732047159699893	0.9732047159699893	0	0	0.984994640943194	0.984994640943194	0	0	2.0010718113612005	2.0010718113612005	0.11789924973204716	0.11789924973204716	0.9807073954983923	0.9807073954983923	0	0	-1.082529474812433	0	2.0150053590568056	0	-1.0075026795284028	-0.9528403001071811	-0.9528403001071811	0	0	0.9603429796355841	0.9603429796355841	0	0	2	0
MMRF_1089_1_BM	0.9271168274383708	0.9271168274383708	1.7888531618435155	0	0.9206859592711683	0.9206859592711683	-0.12433011789924973	-0.12433011789924973	0.8606645230439443	0.8606645230439443	0	0	0.8917470525187566	0.8917470525187566	-0.18863879957127544	0.8981779206859591	0.9046087888531618	0.9046087888531618	0	0	1.877813504823151	1.877813504823151	-0.7684887459807073	0	0	0	2.1511254019292605	0.8520900321543409	0	-0.112540192926045	-0.112540192926045	0	0	1.7095391211146838	1.7095391211146838	0.6806002143622722	0.6806002143622722	0.8992497320471596	-0.16184351554126472
MMRF_1090_1_BM	0	0	0	0	0	0	0	0	1.0075026795284028	1.0075026795284028	0.8263665594855305	0.8263665594855305	0.9710610932475884	0.9710610932475884	0	0	0.969989281886388	0.969989281886388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8317256162915326	0.8317256162915326	0	0	0	0
MMRF_1092_1_BM	0	0	0	0	1.0846730975348338	1.0846730975348338	0	0	2.065380493033226	2.065380493033226	0	0	0.9732047159699893	0.9732047159699893	0	0	2.0418006430868165	2.0418006430868165	0	0	1.69989281886388	1.0493033226152197	0	0	0	0	2.087888531618435	0	0	0	0	0	0	0.8938906752411575	0.8938906752411575	0	0	0	0
MMRF_1098_1_BM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0396570203644158	-1.0482315112540193	0	0	0	0	0	0	0	0	0	0	0	0	-1.0750267952840298
MMRF_1100_1_BM	0.17041800643086816	0.17041800643086816	0.2090032154340836	0.2090032154340836	0.2240085744908896	0.2240085744908896	0.1939978563772776	0.1939978563772776	0.23794212218649516	0.23794212218649516	0	0.18006430868167203	0.19292604501607716	0.19292604501607716	0.11682743837084672	0.11682743837084672	0.14469453376205788	0	0.1157556270096463	0.1157556270096463	0.16934619506966772	0.16934619506966772	0.14683815648445875	0.14683815648445875	-0.9442658092175776	0.11361200428724544	0.3322615219721329	0	0	0	0	0	0.127545551982851	0	0	0	0	0.20364415862808144	0
MMRF_1107_1_BM	0	2.0342979635584135	0	0	0.9753483386923901	0.9753483386923901	0	0	0	0	0.9978563772775991	0.9978563772775991	0	0	-0.11682743837084672	-0.11682743837084672	1.0064308681672025	1.0064308681672025	0	0	0	0	0	0	-1.0546623794212218	0	0.857449088960343	0	0	0	0	0.9657020364415863	0.9657020364415863	0.9796355841371919	0.9796355841371919	0	0	0	0
MMRF_1108_1_BM	0	0	0	0	0	0	0	0	1.102893890675241	1.102893890675241	0	-0.84994640943194	0	0	-0.8595927116827439	0	1.0814576634512325	1.0814576634512325	0	0	1.0535905680600213	1.0535905680600213	0	0	0	0	1.0771704180064308	0	0	0	0	0	0	0.9496248660235798	0.9496248660235798	0	0	1.0921757770632368	0
MMRF_1127_1_BM	0	0	0	0	0	0	0	0	0	0	-0.15969989281886388	-0.15969989281886388	0	0	0	0	0	0.6859592711682744	0	0	0	0	0	0	-0.729903536977492	-0.7406216505894961	0	0	-0.6827438370846731	0	0	0	0	0	0	0	0	0	0
