alteration	MTGC	events	penetrance	Driverness_Index
IgH_traslocation	6.399014778325123	203	0.496	7.7509999999999994
DEL_maj_call_chr_13q	9.288990825688073	218	0.533	5.738
AMP_maj_call_chr_1q	9.863636363636363	154	0.377	3.8219999999999996
AMP_maj_broad_chr_19p	14.295918367346939	196	0.479	3.351
AMP_maj_broad_chr_9q	14.191256830601093	183	0.447	3.15
AMP_maj_broad_chr_11q	13.544378698224852	169	0.413	3.049
AMP_maj_broad_chr_9p	14.42134831460674	178	0.435	3.016
AMP_maj_broad_chr_15q	14.909090909090908	176	0.43	2.884
AMP_maj_broad_chr_19q	14.69767441860465	172	0.421	2.864
AMP_maj_broad_chr_3q	14.301282051282051	156	0.381	2.664
AMP_maj_broad_chr_5p	14.874172185430464	151	0.369	2.481
AMP_maj_broad_chr_5q	14.889655172413793	145	0.355	2.384
AMP_maj_broad_chr_3p	14.5	136	0.333	2.297
AMP_maj_broad_chr_11p	14.949640287769784	139	0.34	2.274
DEL_maj_call_chr_1p	11.098039215686274	102	0.249	2.244
DEL_maj_call_chr_14q	9.616279069767442	86	0.21	2.1839999999999997
DEL_maj_call_chr_16q	12.466019417475728	103	0.252	2.021
AMP_maj_broad_chr_7q	15.512396694214877	121	0.296	1.908
AMP_maj_broad_chr_7p	15.620689655172415	116	0.284	1.818
AMP_maj_broad_chr_21q	14.989795918367347	98	0.24	1.601
DEL_maj_broad_chr_8p	12.397435897435898	78	0.191	1.541
DEL_maj_broad_chr_22q	9.844827586206897	58	0.142	1.442
DEL_maj_broad_chr_6q	11.134615384615385	52	0.127	1.141
AMP_maj_call_chr_8q	12.229166666666666	48	0.117	0.9570000000000001
AMP_maj_broad_chr_6p	14.528301886792454	53	0.13	0.895
DEL_maj_call_chr_17p	12.125	40	0.098	0.808
DEL_maj_broad_chr_20p	10.617647058823529	34	0.083	0.782
DEL_maj_broad_chr_12p	10.878787878787879	33	0.081	0.745
AMP_maj_broad_chr_18q	16.02127659574468	47	0.115	0.718
AMP_maj_broad_chr_18p	15.822222222222223	45	0.11	0.695
AMP_maj_broad_chr_4q	13.766666666666667	30	0.073	0.53
AMP_maj_broad_chr_17q	16.6875	32	0.078	0.46699999999999997
DEL_maj_broad_chr_8q	11.571428571428571	21	0.051	0.441
DEL_maj_broad_chr_18p	12.782608695652174	23	0.056	0.438
AMP_maj_broad_chr_4p	14.125	24	0.059	0.418
DEL_maj_broad_chr_16p	12.55	20	0.049	0.38999999999999996
AMP_maj_broad_chr_17p	17.423076923076923	26	0.064	0.367
DEL_maj_broad_chr_4p	13.736842105263158	19	0.046	0.335
AMP_maj_broad_chr_6q	14.85	20	0.049	0.33
DEL_maj_broad_chr_18q	14.31578947368421	19	0.046	0.321
DEL_maj_broad_chr_12q	12.3125	16	0.039	0.317
DEL_maj_broad_chr_20q	12.066666666666666	15	0.037	0.307
AMP_maj_broad_chr_2p	16.63157894736842	19	0.046	0.27699999999999997
DEL_maj_broad_chr_10p	13.466666666666667	15	0.037	0.27499999999999997
DEL_maj_broad_chr_4q	15.133333333333333	15	0.037	0.244
AMP_maj_broad_chr_20q	16.6	15	0.037	0.22300000000000003
AMP_maj_broad_chr_1p	10.88888888888889	9	0.022	0.202
AMP_maj_broad_chr_16q	12.3	10	0.024	0.19499999999999998
AMP_maj_broad_chr_20p	17.571428571428573	14	0.034	0.193
DEL_maj_broad_chr_11q	8.5	6	0.015	0.17600000000000002
DEL_maj_broad_chr_5q	6.5	4	0.01	0.154
AMP_maj_broad_chr_16p	13.375	8	0.02	0.15
DEL_maj_broad_chr_7p	8.4	5	0.012	0.14300000000000002
AMP_maj_broad_chr_8p	15.25	8	0.02	0.131
DEL_maj_broad_chr_2q	5.666666666666667	3	0.007	0.124
AMP_maj_broad_chr_2q	17.88888888888889	9	0.022	0.123
DEL_maj_broad_chr_5p	6	3	0.007	0.117
DEL_maj_broad_chr_6p	13.166666666666666	6	0.015	0.11399999999999999
AMP_maj_broad_chr_10q	14	6	0.015	0.107
DEL_maj_broad_chr_9p	11.2	5	0.012	0.107
AMP_maj_broad_chr_22q	15.666666666666666	6	0.015	0.096
DEL_maj_broad_chr_10q	17.857142857142858	7	0.017	0.095
DEL_maj_broad_chr_11p	10.75	4	0.01	0.093
DEL_maj_broad_chr_3p	7	2	0.005	0.07100000000000001
AMP_maj_broad_chr_10p	14.5	4	0.01	0.06899999999999999
DEL_maj_broad_chr_17q	17.5	4	0.01	0.056999999999999995
DEL_maj_broad_chr_7q	9	2	0.005	0.055999999999999994
AMP_maj_broad_chr_12p	14.333333333333334	3	0.007	0.049
AMP_maj_broad_chr_13q	5	1	0.002	0.04
DEL_maj_broad_chr_1q	17.333333333333332	3	0.007	0.04
AMP_maj_broad_chr_14q	13.5	2	0.005	0.037
AMP_maj_broad_chr_12q	18	2	0.005	0.027999999999999997
DEL_maj_broad_chr_21q	22.5	2	0.005	0.022000000000000002
DEL_maj_broad_chr_19q	16	1	0.002	0.013
DEL_maj_broad_chr_2p	NA	0	0	NA
DEL_maj_broad_chr_3q	NA	0	0	NA
DEL_maj_broad_chr_9q	NA	0	0	NA
DEL_maj_broad_chr_15q	NA	0	0	NA
DEL_maj_broad_chr_19p	NA	0	0	NA
