alteration	MTGC	events	penetrance	Driverness_Index
AMP_maj_broad_chr_1p	12.280701754385966	57	0.068	0.5539999999999999
AMP_maj_broad_chr_2p	18.892307692307693	65	0.077	0.40800000000000003
AMP_maj_broad_chr_2q	19.895833333333332	48	0.057	0.28600000000000003
AMP_maj_broad_chr_3p	15.237654320987655	324	0.386	2.533
AMP_maj_broad_chr_3q	14.963788300835654	359	0.427	2.854
AMP_maj_broad_chr_4p	16.86	50	0.06	0.356
AMP_maj_broad_chr_4q	16.945454545454545	55	0.065	0.384
AMP_maj_broad_chr_5p	15.143243243243242	370	0.44	2.9059999999999997
AMP_maj_broad_chr_5q	15.204986149584487	361	0.43	2.828
AMP_maj_broad_chr_6p	15.858024691358025	162	0.193	1.217
AMP_maj_broad_chr_6q	16.788888888888888	90	0.107	0.637
AMP_maj_broad_chr_7p	16.176470588235293	272	0.324	2.003
AMP_maj_broad_chr_7q	16.08992805755396	278	0.331	2.057
AMP_maj_broad_chr_8p	17.736842105263158	19	0.023	0.13
AMP_maj_broad_chr_9p	14.443935926773456	437	0.52	3.5999999999999996
AMP_maj_broad_chr_9q	14.19078947368421	456	0.543	3.826
AMP_maj_broad_chr_10p	19.6	20	0.024	0.122
AMP_maj_broad_chr_10q	19.12	25	0.03	0.157
AMP_maj_broad_chr_11p	15.237113402061855	291	0.346	2.271
AMP_maj_broad_chr_11q	14.041666666666666	336	0.4	2.849
AMP_maj_broad_chr_12p	20.09090909090909	11	0.013	0.065
AMP_maj_broad_chr_12q	21.333333333333332	9	0.011	0.052
AMP_maj_broad_chr_13q	16.666666666666668	3	0.004	0.024
AMP_maj_broad_chr_14q	14.6	15	0.018	0.123
AMP_maj_broad_chr_15q	14.722488038277511	418	0.498	3.383
AMP_maj_broad_chr_16p	16.0625	16	0.019	0.11800000000000001
AMP_maj_broad_chr_16q	13.153846153846153	13	0.015	0.11399999999999999
AMP_maj_broad_chr_17p	18.098360655737704	61	0.073	0.40299999999999997
AMP_maj_broad_chr_17q	18	73	0.087	0.483
AMP_maj_broad_chr_18p	16.896907216494846	97	0.115	0.681
AMP_maj_broad_chr_18q	16.673267326732674	101	0.12	0.72
AMP_maj_broad_chr_19p	14.310195227765727	461	0.549	3.836
AMP_maj_broad_chr_19q	14.73365617433414	413	0.492	3.3390000000000004
AMP_maj_broad_chr_20p	18.434782608695652	23	0.027	0.146
AMP_maj_broad_chr_20q	18.56	25	0.03	0.16199999999999998
AMP_maj_broad_chr_21q	15.525510204081632	196	0.233	1.5010000000000001
AMP_maj_broad_chr_22q	19.875	8	0.01	0.05
DEL_maj_broad_chr_1q	19.5	6	0.007	0.036000000000000004
DEL_maj_broad_chr_2p	23.666666666666668	3	0.004	0.017
DEL_maj_broad_chr_2q	16.25	8	0.01	0.062
DEL_maj_broad_chr_3p	6.5	4	0.005	0.077
DEL_maj_broad_chr_3q	NA	0	0	NA
DEL_maj_broad_chr_4p	12.114285714285714	35	0.042	0.347
DEL_maj_broad_chr_4q	12.565217391304348	23	0.027	0.215
DEL_maj_broad_chr_5p	11	2	0.002	0.018000000000000002
DEL_maj_broad_chr_5q	10.5	6	0.007	0.067
DEL_maj_broad_chr_6p	15.833333333333334	6	0.007	0.044000000000000004
DEL_maj_broad_chr_6q	11.361702127659575	94	0.112	0.9860000000000001
DEL_maj_broad_chr_7p	12.75	4	0.005	0.039
DEL_maj_broad_chr_7q	15	1	0.001	0.006999999999999999
DEL_maj_broad_chr_8p	12.875	152	0.181	1.406
DEL_maj_broad_chr_8q	11.285714285714286	28	0.033	0.292
DEL_maj_broad_chr_9p	10.666666666666666	6	0.007	0.066
DEL_maj_broad_chr_9q	25	1	0.001	0.004
DEL_maj_broad_chr_10p	12.214285714285714	14	0.017	0.13899999999999998
DEL_maj_broad_chr_10q	12.833333333333334	12	0.014	0.109
DEL_maj_broad_chr_11p	9.285714285714286	7	0.008	0.086
DEL_maj_broad_chr_11q	9	1	0.001	0.011000000000000001
DEL_maj_broad_chr_12p	11.163934426229508	61	0.073	0.654
DEL_maj_broad_chr_12q	12.1875	32	0.038	0.312
DEL_maj_broad_chr_15q	NA	0	0	NA
DEL_maj_broad_chr_16p	12.193548387096774	31	0.037	0.303
DEL_maj_broad_chr_17q	13.5	14	0.017	0.126
DEL_maj_broad_chr_18p	13.15625	32	0.038	0.28900000000000003
DEL_maj_broad_chr_18q	16.071428571428573	14	0.017	0.106
DEL_maj_broad_chr_19p	NA	0	0	NA
DEL_maj_broad_chr_19q	11	2	0.002	0.018000000000000002
DEL_maj_broad_chr_20p	12.129032258064516	62	0.074	0.61
DEL_maj_broad_chr_20q	14.04	25	0.03	0.214
DEL_maj_broad_chr_21q	10.5	10	0.012	0.11399999999999999
DEL_maj_broad_chr_22q	10.822222222222223	90	0.107	0.989
AMP_maj_call_chr_1q	11.127946127946128	297	0.354	3.1809999999999996
AMP_maj_call_chr_8q	14.427272727272728	110	0.131	0.9079999999999999
DEL_maj_call_chr_17p	12.2875	80	0.095	0.773
DEL_maj_call_chr_1p	10.903409090909092	176	0.21	1.926
DEL_maj_call_chr_13q	9.753807106598984	394	0.469	4.808
DEL_maj_call_chr_14q	9.173913043478262	161	0.192	2.093
DEL_maj_call_chr_16q	12.221052631578948	190	0.226	1.849
IgH_traslocation	5.639204545454546	352	0.419	7.430000000000001
