DEL_all_focal_FAM46C	DEL_all_focal_CDKN2C	DEL_all_focal_FAF1	DEL_all_focal_RB1	DEL_all_focal_TRAF3	DEL_all_focal_CYLD	DEL_all_focal_TP53
MM__CytoscanHD_03072018.1035_.CytoScanHD_Array._2	0	0	0	0	0	0	0
MM__CytoscanHD_03072018_1036_.CytoScanHD_Array.	0	0	0	1	0	1	1
MM__CytoscanHD_03072018_1037_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM__CytoscanHD_03072018_1038_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM__CytoscanHD_03072018_1039_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM__CytoscanHD_03072018_1040_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM__CytoscanHD_03072018_1041_.CytoScanHD_Array.	0	0	0	0	0	1	0
MM__CytoscanHD_10052018_1000_.CytoScanHD_Array.	1	0	0	1	1	1	0
MM__CytoscanHD_10052018_1001_.CytoScanHD_Array.	0	0	0	0	1	0	0
MM__CytoscanHD_10052018_993_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM__CytoscanHD_10052018_995_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM__CytoscanHD_10052018_997_.CytoScanHD_Array.	0	1	1	1	1	1	0
MM__CytoscanHD_10052018_998_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM__CytoscanHD_11062018_1018_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM__CytoscanHD_11062018_1019_.CytoScanHD_Array.	0	0	0	1	1	0	0
MM__CytoscanHD_11062018_1020_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM__CytoscanHD_11062018_1021_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM__CytoscanHD_11062018_1022_.CytoScanHD_Array.	0	0	0	0	0	1	0
MM__CytoscanHD_11062018_1023_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM__CytoscanHD_11062018_1024_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM__CytoscanHD_11062018_1025_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM__CytoscanHD_21062018_1027_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM__CytoscanHD_21062018_1028_.CytoScanHD_Array.	0	1	1	0	0	0	1
MM__CytoscanHD_21062018_1029_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM__CytoscanHD_21062018_1030_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM__CytoscanHD_21062018_1031_.CytoScanHD_Array.	0	0	0	1	0	1	1
MM__CytoscanHD_21062018_1032_.CytoScanHD_Array.	1	0	0	0	0	1	1
MM__CytoscanHD_24052018_1004_.CytoScanHD_Array.	1	1	1	1	1	0	1
MM__CytoscanHD_24052018_1007_.CytoScanHD_Array.	1	0	0	1	0	1	0
MM__CytoscanHD_24052018_1008_.CytoScanHD_Array.	0	0	0	1	0	0	0
MM__CytoscanHD_24052018_1009_.CytoScanHD_Array.	0	1	1	1	0	1	0
MM__CytoscanHD_31052018_1010_.CytoScanHD_Array.	0	0	0	0	0	0	0
MM__CytoscanHD_31052018_1011_.CytoScanHD_Array.	1	0	0	1	0	0	0
