genes.hgnc_symbol	genes.ensembl_gene_id	genes.length	logFC	AveExpr	t	P.Value	adj.P.Val
CCND2	ENSG00000118971	35582	6.012774856487648	2.859626185086451	9.143804485697853	1.5723722353360267e-18	2.9491413645962514e-14
NES	ENSG00000132688	8644	5.524944898214279	1.3621211353198506	8.713856973273707	4.002673789281138e-17	3.753707479587851e-13
	ENSG00000242444	8471	3.486106441361063	-5.552958210503383	8.231473894957158	1.3373587736785343e-15	8.361167053038196e-12
CD109	ENSG00000156535	132531	2.8712817963761004	-1.4132166617356412	7.395763197575433	4.1984422323539366e-13	1.968649562750761e-9
MUC1	ENSG00000185499	7092	3.0586825498508348	0.4918050745364931	7.13928929372874	2.2424048843461007e-12	8.411709202159093e-9
TRERNA1	ENSG00000231265	788	-3.0655284750905123	-3.968096736281115	-7.02833130404053	4.56709911965164e-12	1.4276751848031026e-8
KLHDC9	ENSG00000162755	1985	1.8863554758831294	0.4822414519540127	6.9066342230296325	9.870194477377728e-12	2.3288461662674633e-8
ASTN1	ENSG00000152092	307671	4.142254773045651	-3.1841395943271236	6.905622221886279	9.933231675271757e-12	2.3288461662674633e-8
CCND1	ENSG00000110092	13318	-3.490653139602274	4.753301618577087	-6.762131328179878	2.432401258148022e-11	5.0691242219804777e-8
CEP250-AS1	ENSG00000230155	14782	-2.8635755218039693	-0.6720510395301554	-6.618058266696345	5.893086669017331e-11	1.1053073356408905e-7
LINC00426	ENSG00000238121	36878	-2.70349339246141	0.29417238185081845	-6.402500167734807	2.155363804380001e-10	3.675091228631936e-7
SLC46A3	ENSG00000139508	18906	-2.4038484487870457	2.8955200169408246	-6.314819791038829	3.6181955674086594e-10	5.655239671859734e-7
NPHP1	ENSG00000144061	82755	2.029652502136123	-1.1216680079788741	6.275954183124854	4.5440860917866853e-10	6.172847562024951e-7
SCARNA9	ENSG00000254911	352	-2.322730534756211	0.2405656768429483	-6.27358105816337	4.607585085751189e-10	6.172847562024951e-7
LINC01781	ENSG00000234184	111046	-3.2428319658725426	3.7242100700348635	-6.236996256337252	5.70375412420198e-10	7.1319741569021565e-07
LY86-AS1	ENSG00000216863	276306	-2.9188251235757834	-0.3213197101880409	-6.141144910591164	9.931149830163893e-10	1.1641790388409625e-6
EPSTI1	ENSG00000133106	105883	-2.0678601341204352	3.5419038036540145	-6.116064858210928	1.1469284353658048e-9	1.2653993961012373e-6
PKP2	ENSG00000057294	106022	3.387575254335852	0.02285608561888592	5.980623888477734	2.4762286238969656e-9	2.464257247865076e-6
ANKRD33B	ENSG00000164236	93746	3.3025090612030046	-4.204135748896428	5.979189420197647	2.496315190309045e-9	2.464257247865076e-6
STEAP1	ENSG00000164647	10373	2.821533897198133	-2.859078960990589	5.967901619360903	2.660027088750316e-9	2.494573403830046e-6
SPATA17	ENSG00000162814	240372	2.51373058164737	-4.870590774630089	5.868354698818132	4.638663130649771e-9	4.1429888418317665e-6
MAB21L1	ENSG00000180660	2900	-3.237549748914064	-0.7925236871263835	-5.739190403966045	9.439704916658702e-9	7.923985099798358e-6
KIF19	ENSG00000196169	29610	-2.7669836941861714	3.64800676378576	-5.733878633360534	9.716978955820123e-9	7.923985099798358e-6
CCRL2	ENSG00000121797	5831	-2.302512726063358	2.10015083039959	-5.706354147118709	1.1285814189100881e-8	8.819863788782338e-6
NTRK1	ENSG00000198400	66210	2.519388025840567	-2.0141200640442567	5.611507878185131	1.881965209003998e-8	1.4119255784031595e-5
	ENSG00000259514	2454	-2.610905655271126	-1.2380245872662945	-5.5417052864502025	2.7299294273570757e-8	1.969329089981127e-5
GNG11	ENSG00000127920	6875	-3.893341322971797	0.6990767690887916	-5.521384215337889	3.040010179972462e-8	2.1117937383542035e-5
C1orf21-DT	ENSG00000271387	951	2.5331899199505568	-3.8229881124064105	5.487204887792268	3.640425773146123e-8	2.4385652071831675e-5
ANKRD30A	ENSG00000148513	106969	2.6548556818445563	-5.9900877231445495	5.4274328931415985	4.9785538767019546e-8	3.219922638324891e-5
GAL3ST3	ENSG00000175229	8396	2.6567532079118923	-5.366286432048417	5.393901830054712	5.927139270330245e-8	3.7056474718104696e-5
EPHB1	ENSG00000154928	465207	-3.1735287185433547	1.6222415127204535	-5.371349552188016	6.661545416519536e-8	4.030449865556142e-5
LINC00996	ENSG00000242258	14487	-2.5452824005369803	2.0964096008443285	-5.347138662243316	7.548230944151714e-8	4.4242068621409235e-5
	ENSG00000251196	3714	2.9705446970052853	-4.259630827541956	5.3157014920314465	8.871936825353902e-8	5.0424862756466e-5
NETO2	ENSG00000171208	66242	2.353104657108844	1.479800841621174	5.29929066327018	9.649784492175152e-8	5.2676866952062835e-5
BCAN	ENSG00000132692	18142	2.0551854658992843	-2.1153773342697124	5.295674627348297	9.829869606111108e-8	5.2676866952062835e-5
KLF5	ENSG00000102554	22565	-2.5322899070174913	1.7755535451588558	-5.288177182185301	1.0213703681486297e-7	5.321339618054361e-5
USH2A	ENSG00000042781	800557	-3.3572656402353798	0.7733713880763824	-5.260646284524405	1.1751844696383697e-7	5.9572324087938545e-5
LINC01749	ENSG00000272259	75688	2.8542056933897073	-3.24814630925699	5.244374061924519	1.276420447121172e-7	6.300142606895974e-5
RFPL4B	ENSG00000251258	3964	3.131426274238874	-4.926730598992854	5.225702096199631	1.4030177632271716e-7	6.747436196689443e-5
