genes.hgnc_symbol	genes.ensembl_gene_id	genes.length	logFC	AveExpr	t	P.Value	adj.P.Val
CCND2	ENSG00000118971	35582	5.1304696458879615	3.036993979449435	13.903789103948105	4.871068347594187e-39	9.70414236207714e-35
	ENSG00000242444	8471	2.8363085316191015	-5.47192632452771	8.064258146243468	1.7328193200958675e-15	1.7260613247474935e-11
CD109	ENSG00000156535	132531	2.5102009305892814	-0.6741976862416736	7.7678259020620075	1.5274418585339033e-14	1.0143232235237474e-10
NES	ENSG00000132688	8644	3.236318098261331	2.136330599121385	7.177207434350596	9.588098794398034e-13	4.775352604549941e-9
PKP2	ENSG00000057294	106022	2.82066541289094	0.7181831292213722	7.131025097416613	1.3104228008218633e-12	5.221248607594632e-9
CCND1	ENSG00000110092	13318	-3.9693221722572565	5.3333662441719145	-6.790282684987747	1.2476816034304384e-11	4.142718817256866e-8
JUP	ENSG00000173801	32327	2.2349427005979132	1.4749212689302154	6.666014453348186	2.7741438978218105e-11	7.895213533200873e-8
MARK1	ENSG00000116141	136325	2.930625284565914	-2.731541276087385	6.642569573397665	3.2210771462197523e-11	8.021287363373738e-8
NTRK1	ENSG00000198400	66210	2.1385563830077823	-2.356062675923011	6.151172942424396	6.659668112311475e-10	1.4741545348163244e-6
MUC1	ENSG00000185499	7092	2.154978659999568	0.28466841592023895	6.064851492369345	1.111016431674517e-9	2.2133669351819726e-6
MUC3A	ENSG00000169894	18813	2.784998761022451	-4.724549019182952	6.036850461431435	1.309931768457674e-9	2.372405517383071e-6
PLAAT2	ENSG00000133328	10609	2.224750957041384	-0.372079827982123	5.880922620064109	3.239097258673789e-9	5.3774412989416025e-6
PSMD8P1	ENSG00000228264	768	1.8406722651078082	-4.201551707559615	5.756177439188821	6.586685329414685e-9	1.0093841933276875e-5
WSCD1	ENSG00000179314	66620	2.8148300513674136	-0.821841404488047	5.4946510518447065	2.7961266133413288e-8	3.978888170784711e-5
SCN9A	ENSG00000169432	180816	2.003492586751776	2.5098436207197987	5.4133212050526165	4.332354082870134e-8	5.753943869262587e-5
