cytoband	1p22.1	16q12.1	1p12	4p16.3	11q22.2	1p32.3	16p13.3	13q12.11	22q11.22	16q24.3	6q25.2	14q32.33	8q24.13	13q14.2	8p23.3	10q24.32	12q24.33	7p22.3	2q37.3	1p36.33	17q25.3	14q23.3	8q24.3	22q13.33	3q29	12p12.1	
q value	2.6454e-39	2.4262e-27	4.3386e-32	6.8638e-23	1.2051e-21	4.7718e-17	1.1658e-11	8.7825e-13	2.3705e-10	3.4653e-11	4.213e-09	1.2398e-08	1.1904e-08	1.2398e-08	3.5362e-07	9.2025e-07	1.3088e-06	4.85e-06	6.8826e-06	2.4077e-05	0.00013289	0.00030525	0.00032451	0.0012417	0.0059988	0.0093454	
residual q value	2.6138e-29	4.9414e-26	3.0679e-23	6.8638e-23	1.1843e-21	6.7525e-12	1.1658e-11	2.5187e-11	4.818e-10	1.5163e-09	4.2372e-09	1.2608e-08	2.0655e-08	1.2712e-07	3.5362e-07	8.8043e-07	1.3088e-06	4.85e-06	6.8826e-06	7.327e-05	0.00013725	0.00030525	0.000381	0.0028949	0.0061133	0.0093454	
wide peak boundaries	chr1:92849301-93552699	chr16:50402501-51176199	chr1:117649261-118474399	chr4:1-1981242	chr11:102101501-102271559	chr1:50664201-51575299	chr16:1-3147399	chr13:1-20539379	chr22:20187801-23435799	chr16:89292501-90354753	chr6:153445521-163151099	chr14:102845301-107349540	chr8:126089201-128028299	chr13:48832201-49798699	chr8:1-1248309	chr10:103571351-104227699	chr12:132546401-133851895	chr7:1-3346699	chr2:235405668-243199373	chr1:1-3572853	chr17:78448939-81195210	chr14:65458001-77501999	chr8:142009601-146364022	chr22:49139301-51304566	chr3:173996230-198022430	chr12:22835101-24732932	
genes in wide peak	GFI1	hsa-mir-3181	MAN1A2	hsa-mir-571	BIRC2	CDKN2C	hsa-mir-3178	TUBA3C	hsa-mir-650	AFG3L1P	hsa-mir-1202	hsa-mir-203	TRIB1	RCBTB2	FBXO25	hsa-mir-146b	GOLGA3	hsa-mir-339	hsa-mir-3133	hsa-mir-551a	hsa-mir-3186	hsa-mir-625	hsa-mir-1234	ACR	hsa-mir-922	hsa-mir-920	
	SNORD21	CYLD	GDAP2	ATP5I	BIRC3	FAF1	hsa-mir-940	ZMYM5	hsa-mir-130b	C16orf3	hsa-mir-1273c	hsa-mir-4309	FAM84B	MLNR	C8orf42	NFKB2	POLE	GNA12	hsa-mir-149	hsa-mir-4251	hsa-mir-1250	ACTN1	hsa-mir-939	ARSA	hsa-mir-570	SOX5	
	RPL5	NOD2	FAM46C	CTBP1		DMRTA2	hsa-mir-1225	MPHOSPH8	hsa-mir-649	DPEP1	ACAT2	AKT1	NSMCE2	RB1	ERICH1	PITX3	PXMP2	GPER	hsa-mir-4269	hsa-mir-429	ACTG1	ACYP1	hsa-mir-661	CHKB	hsa-mir-3137	MIR920	
	EVI5	NKD1	VTCN1	DGKQ			hsa-mir-3177	PSPC1	hsa-mir-1286	FANCA	IGF2R	CKB	LOC100130231	LPAR6	ZNF596	PSD	ZNF10	LFNG	AGXT	hsa-mir-1302-2	ARHGDIA	ARG2	hsa-mir-937	CPT1B	hsa-mir-944		
	SNORA66	SNX20	TRIM45	FGFR3			hsa-mir-662	TPTE2	CRKL	GAS8	LPA	CRIP1		FNDC3A	OR4F21	GBF1	ZNF26	NUDT1	KIF1A	CDK11B	CD7	ZFP36L1	hsa-mir-1302-7	TYMP	hsa-mir-28		
	FAM69A			GAK			hsa-mir-3176	PHF2P1	SERPIND1	MC1R	MAS1	CRIP2		CYSLTR2	RPL23AP53	LDB1	ZNF84	PDGFA	BOK	DVL1	CSNK1D	ENTPD5	BAI1	MAPK11	hsa-mir-1248		
				IDUA			ABCA3	ANKRD20A9P	PI4KA	CHMP1A	MAP3K4	EIF5				NOLC1	ZNF140	PRKAR1B	COL6A3	MEGF6	SLC25A10	DLST	CYC1	MAPK12	hsa-mir-1224		
				LETM1			ARHGDIG	LINC00442	MAPK1	RPL13	OPRM1	ELK2AP				PPRC1	ZNF268	MAFK	DTYMK	GABRD	FASN	EIF2S1	CYP11B1	SBF1	ACTL6A		
				MYL5			ATP6V0C	ANKRD26P3	SLC7A4	SPG7	PARK2	BRF1				KCNIP2	P2RX2	MAD1L1	GBX2	GNB1	GCGR	ERH	CYP11B2	PPP6R2	AHSG		
				PDE6B			CCNF	LINC00421	UBE2L3	CDK10	PLG	JAG2				CUEDC2	ANKLE2	EIF3B	GPC1	PEX10	UTS2R	ESRRB	EEF1D	ZBED4	APOD		
				WHSC1			CLCN7		VPREB1	C16orf7	SLC22A1	KLC1				FBXL15	GALNT9	ADAP1	GPR35	PRKCZ	GPS1	FOS	GLI4	SCO2	BCL6		
				ZNF141			ECI1		ZNF74	TUBB3	SLC22A3	MARK3				C10orf76	CHFR	IQCE	HDLBP	SCNN1D	FOXK2	FUT8	GML	RABL2B	BDH1		
				SLBP			DNASE1L2		LZTR1	PRDM7	SLC22A2	TNFAIP2				HPS6	FBRSL1	SUN1	NDUFA10	SKI	MAFG	LTBP2	GPR20	MLC1	AP2M1		
				MAEA			E4F1		TOP3B	TCF25	SOD2	TRAF3				C10orf95	NOC4L	INTS1	SEPT2	TNFRSF4	P4HB	MAX	GPT	MAPK8IP2	CLCN2		
				PCGF3			GFER		P2RX6	CPNE7	TCP1	XRCC3				ELOVL3	PGAM5	SNX8	PDCD1	MMP23B	PDE6G	MAP3K9	GRINA	PLXNB2	CPN2		
				SPON2			HAGH		SNAP29	ANKRD11	DYNLT1	ADAM6				MIR146B	DDX51	FTSJ2	PPP1R7	MMP23A	PYCR1	ALDH6A1	HSF1	BRD1	CRYGS		
				TACC3			HBA1		PPM1F	DEF8	EZR	MTA1				LOC100289509	EP400NL	GET4	PER2	TNFRSF14	PCYT2	PGF	LY6E	NCAPH2	DGKG		
				CPLX1			HBA2		HIC2	DBNDD1	SYNJ2	BAG5				LOC100505761	LOC647589	CYP2W1	LRRFIP1	TNFRSF18	RAC3	PIGH	LY6H	MOV10L1	DLG1		
				SLC26A1			HBM		PRAME	SPIRE2	WTAP	C14orf2					LOC100130238	HEATR2	HDAC4	ISG15	RFNG	PSEN1	TONSL	MIOX	DVL3		
				FGFRL1			HBQ1		SDF2L1	CENPBD1	SCAF8	CDC42BPB					ZNF605	CHST12	FARP2	PLCH2	MRPL12	ABCD4	PLEC	PANX2	EHHADH		
				PIGG			HBZ		PPIL2	ZNF276	IPCEF1	KIAA0125					LOC100507055	FAM20C	RAMP1	SLC35E2	SECTM1	RAD51B	RPL8	ALG12	EIF4A2		
				KIAA1530			IGFALS		POM121L1P	SPATA2L	TIAM2	SIVA1						MICALL2	STK25	RER1	TBCD	SRSF5	TSTA3	CRELD2	EIF4G1		
				ABCA11P			MPG		POM121L8P	C16orf55	MRPL18	RCOR1						TTYH3	COPS8	NOC2L	SLC16A3	SLC8A3	ZNF7	ADM2	EPHB3		
				MFSD7			NDUFB10		YPEL1	SNORD68	CLDN20	PACS2						PSMG3	CAPN10	OR4F3	HGS	SLC10A1	ZNF16	TRABD	ETV5		
