CNV Identifier	Chrmosome	Narrow Region Start	Narrow Region End	Wide Region Start	Wide Region End	Frequency	num_samples
6258	chr1	1598413	1598580	1598413	1598580	24.68	450
6273	chr1	2566193	2566623	2566193	2566623	6.36	116
6281	chr1	2911535	2911850	2911535	2911850	21.05	384
6282	chr1	2919031	2919366	2919031	2919366	8.78	160
6287	chr1	3082050	3082398	3082050	3082398	7.03	128
6288	chr1	3098346	3098554	3098346	3098554	8.95	163
6295	chr1	4155145	4155460	4155145	4155460	47.21	499
6304	chr1	4676496	4676644	4676496	4676644	10.04	183
6317	chr1	5869340	5869558	5869340	5869558	23.2	267
6324	chr1	6072194	6072792	6072194	6072792	21.29	245
6389	chr1	11047365	11047568	11047365	11047568	13.45	245
6436	chr1	12822373	12822609	12822373	12822609	15.12	174
6439	chr1	13854189	13854378	13854189	13854378	12.95	236
6447	chr1	14436349	14436655	14436349	14436655	19.59	209
6534	chr1	19761426	19761593	19761426	19761593	13.49	246
6540	chr1	20497173	20497768	20497173	20497768	31.18	1039
6552	chr1	21786417	21786696	21786417	21786696	67.04	2258
6557	chr1	22144620	22144756	22144620	22144756	25.38	268
6609	chr1	27804111	27804441	27804111	27804441	28.41	327
6611	chr1	27935391	27935519	27935391	27935519	10.51	121
6621	chr1	29227582	29227902	29227582	29227902	6.26	114
6686	chr1	35627107	35627433	35627107	35627433	61.09	2093
6687	chr1	36733249	36733581	36733249	36733581	21.12	405
6688	chr1	36733281	36733514	36733281	36733514	92.3	2312
6701	chr1	37816476	37816721	37816476	37816721	44.39	1532
6709	chr1	38208244	38208408	38208244	38208408	18.81	361
6719	chr1	39277037	39277939	39277037	39277939	7.42	190
6730	chr1	40962345	40962777	40962345	40962777	23	265
6823	chr1	53595115	53595602	53595115	53595602	27.03	926
6835	chr1	55287550	55287869	55287550	55287869	29.64	342
6909	chr1	65682233	65682602	65682233	65682602	14.74	482
6946	chr1	70768111	70768434	70768111	70768434	26.59	306
6987	chr1	74312426	74312678	74312426	74312678	44.51	1525
7058	chr1	81979731	81979852	81979731	81979852	10.37	199
7060	chr1	82963289	82963615	82963289	82963615	25.18	483
7117	chr1	91132696	91132833	91132696	91132833	7.98	153
7131	chr1	91914096	91914562	91914096	91914562	44.07	847
7138	chr1	94251457	94251770	94251457	94251770	26.81	315
7161	chr1	99044267	99044757	99044267	99044757	6.01	206
7166	chr1	100390536	100390863	100390536	100390863	18.25	210
7173	chr1	101388550	101388871	101388550	101388871	11.99	230
7229	chr1	104443182	104443722	104443182	104443722	25.68	1268
7234	chr1	104451498	104451652	104451498	104451652	13.44	245
7330	chr1	112074694	112074805	112074694	112074805	10.74	206
7353	chr1	113715629	113715920	113715629	113715920	5.21	100
7369	chr1	117078164	117078485	117078164	117078485	43.58	502
7492	chr1	152327436	152327667	152327436	152327667	7.77	149
7537	chr1	157540653	157540872	157540653	157540872	45.34	1553
7547	chr1	158488409	158488678	158488409	158488678	57.15	1958
7561	chr1	158712030	158712353	158712030	158712353	57.73	665
7648	chr1	169849517	169849756	169849517	169849756	10.09	184
7692	chr1	178495285	178495719	178495285	178495719	10.32	198
7706	chr1	179607299	179607936	179607299	179607936	18.73	299
7721	chr1	182289323	182289636	182289323	182289636	12.56	241
7796	chr1	189530169	189530739	189530169	189530739	5.43	139
7810	chr1	190910592	190910775	190910592	190910775	12.09	232
7847	chr1	194517606	194517871	194517606	194517871	69.6	1811
7854	chr1	195043196	195043556	195043196	195043556	20.75	239
7932	chr1	201659250	201659655	201659250	201659655	10.08	116
7938	chr1	202427251	202427546	202427251	202427546	31.86	367
8000	chr1	210706591	210706692	210706591	210706692	16.38	173
8014	chr1	213039225	213039395	213039225	213039395	10.7	195
8024	chr1	214770102	214770439	214770102	214770439	17.83	342
8043	chr1	217404368	217404698	217404368	217404698	9.59	184
8050	chr1	217917510	217917824	217917510	217917824	32.59	626
8059	chr1	219923308	219923626	219923308	219923626	38.68	752
8068	chr1	220285453	220285773	220285453	220285773	35.76	412
8130	chr1	226612686	226612895	226612686	226612895	5.79	111
8183	chr1	231303065	231303371	231303065	231303371	27.43	316
8195	chr1	232836574	232836759	232836574	232836759	20.07	385
8242	chr1	236054574	236054913	236054574	236054913	50.34	592
8240	chr1	236279278	236279831	236279278	236279831	34.12	1169
8396	chr1	240641198	240641602	240641198	240641602	48.37	1657
8423	chr1	241586224	241586488	241586224	241586488	53.32	1797
8436	chr1	247536758	247536953	247536758	247536953	15.95	291
6225	chr1	766596	769111	766596	769111	7.34	195
6230	chr1	963841	964480	963841	964480	9.45	242
6255	chr1	1142715	1143140	1142715	1143140	28.2	939
6257	chr1	1465911	1466230	1465911	1466230	18.99	346
6272	chr1	2367783	2368008	2367783	2368008	7.14	130
6271	chr1	2390805	2391051	2390805	2391051	7.3	133
6293	chr1	4126085	4126927	4126085	4126927	14.87	157
6339	chr1	7163578	7164357	7163578	7164357	18.07	208
6353	chr1	7924947	7925552	7924947	7925552	24.75	292
6362	chr1	8550488	8551372	8550488	8551372	7.21	185
6372	chr1	9595352	9597836	9595352	9597836	28.76	985
6384	chr1	10482479	10483779	10482479	10483779	38.6	1620
6397	chr1	11682878	11683188	11682878	11683188	70.23	1868
6443	chr1	14163063	14166989	14163063	14166989	6.63	170
6444	chr1	14436280	14438927	14436280	14438927	35.53	1736
6471	chr1	16152667	16155517	16152667	16155517	8.29	304
154	chr1	16890861	16893754	16890861	16893754	24.08	498
6518	chr1	17676268	17678930	17676268	17678930	40.01	1334
6519	chr1	17676245	17677361	17676245	17677361	20.25	318
6530	chr1	19647185	19648344	19647185	19648344	8.31	213
6539	chr1	20496899	20497748	20496899	20497748	39.1	979
6543	chr1	20864018	20864735	20864018	20864735	7.57	252
6545	chr1	20932019	20932703	20932019	20932703	17.72	323
6565	chr1	22904445	22905621	22904445	22905621	11.96	129
6583	chr1	24520414	24523689	24520414	24523689	14.52	717
6584	chr1	24804193	24809313	24804193	24809313	16.8	576
6585	chr1	24805234	24807260	24805234	24807260	8.15	128
6590	chr1	25201823	25203634	25201823	25203634	5.5	141
173	chr1	26460544	26464384	26460544	26464384	22.5	465
6605	chr1	26961131	26963882	26961131	26963882	13.43	344
6637	chr1	31040643	31041659	31040643	31041659	10.32	198
6682	chr1	35102654	35104491	35102654	35104491	15.95	220
6716	chr1	39084228	39085821	39084228	39085821	10.2	504
6754	chr1	43693873	43695712	43693873	43695712	12.23	604
6765	chr1	45021216	45022307	45021216	45022307	12.63	336
6821	chr1	53594164	53595598	53594164	53595598	17.36	1009
6822	chr1	53594101	53594943	53594101	53594943	27.15	930
6833	chr1	55092102	55095995	55092102	55095995	27.2	1173
197	chr1	55301814	55304081	55301814	55304081	21.69	508
6839	chr1	55342081	55343472	55342081	55343472	6.64	170
6843	chr1	55927715	55929227	55927715	55929227	7.51	250
6852	chr1	56831105	56834961	56831105	56834961	45.99	884
6864	chr1	58743909	58744826	58743909	58744826	89.07	4369
6877	chr1	60048628	60049654	60048628	60049654	26.66	1069
6880	chr1	62082821	62083701	62082821	62083701	33.42	1659
6881	chr1	62082889	62083628	62082889	62083628	18.64	305
6890	chr1	62622895	62624327	62622895	62624327	11.11	370
6889	chr1	62654661	62657211	62654661	62657211	10.52	519
6899	chr1	63705355	63708146	63705355	63708146	34.03	654
6905	chr1	64846772	64848459	64846772	64848459	5.23	134
6919	chr1	66263905	66264243	66263905	66264243	28.67	557
6928	chr1	68007968	68008812	68007968	68008812	88.5	2355
6952	chr1	71148797	71149047	71148797	71149047	17.36	333
6984	chr1	73768761	73769152	73768761	73769152	26.15	502
7034	chr1	80221780	80223034	80221780	80223034	46.33	1555
7037	chr1	80221815	80222961	80221815	80222961	37.14	572
7053	chr1	81422437	81424602	81422437	81424602	7.16	246
7063	chr1	83125924	83127787	83125924	83127787	11.64	101
7071	chr1	84056668	84057349	84056668	84057349	8.67	297
7075	chr1	84271902	84272033	84271902	84272033	11.03	127
7079	chr1	84711740	84715819	84711740	84715819	21.39	1057
7080	chr1	84713641	84715618	84713641	84715618	19.11	513
7089	chr1	86400832	86404542	86400832	86404542	24.39	1133
7105	chr1	88285840	88286000	88285840	88286000	11.91	220
7107	chr1	89094510	89095344	89094510	89095344	6.2	306
7110	chr1	89475923	89478616	89475923	89478616	16.22	942
7113	chr1	89811423	89812283	89811423	89812283	10.03	494
7126	chr1	91561076	91562169	91561076	91562169	15.96	409
7123	chr1	92232081	92233296	92232081	92233296	28.76	1420
7127	chr1	93291973	93292789	93291973	93292789	21.17	725
